date,Guitare,isPartial
2018-01-07,71,False
2018-01-14,70,False
2018-01-21,68,False
2018-01-28,68,False
2018-02-04,66,False
2018-02-11,61,False
2018-02-18,63,False
2018-02-25,58,False
2018-03-04,69,False
2018-03-11,59,False
2018-03-18,64,False
2018-03-25,63,False
2018-04-01,68,False
2018-04-08,59,False
2018-04-15,52,False
2018-04-22,52,False
2018-04-29,64,False
2018-05-06,62,False
2018-05-13,52,False
2018-05-20,61,False
2018-05-27,58,False
2018-06-03,65,False
2018-06-10,60,False
2018-06-17,55,False
2018-06-24,56,False
2018-07-01,55,False
2018-07-08,55,False
2018-07-15,48,False
2018-07-22,49,False
2018-07-29,52,False
2018-08-05,50,False
2018-08-12,55,False
2018-08-19,59,False
2018-08-26,59,False
2018-09-02,63,False
2018-09-09,61,False
2018-09-16,62,False
2018-09-23,60,False
2018-09-30,57,False
2018-10-07,57,False
2018-10-14,65,False
2018-10-21,60,False
2018-10-28,68,False
2018-11-04,60,False
2018-11-11,72,False
2018-11-18,63,False
2018-11-25,68,False
2018-12-02,67,False
2018-12-09,65,False
2018-12-16,79,False
2018-12-23,80,False
2018-12-30,77,False
2019-01-06,61,False
2019-01-13,59,False
2019-01-20,61,False
2019-01-27,66,False
2019-02-03,72,False
2019-02-10,59,False
2019-02-17,58,False
2019-02-24,58,False
2019-03-03,61,False
2019-03-10,57,False
2019-03-17,61,False
2019-03-24,61,False
2019-03-31,57,False
2019-04-07,56,False
2019-04-14,51,False
2019-04-21,61,False
2019-04-28,61,False
2019-05-05,62,False
2019-05-12,58,False
2019-05-19,53,False
2019-05-26,53,False
2019-06-02,52,False
2019-06-09,57,False
2019-06-16,54,False
2019-06-23,52,False
2019-06-30,55,False
2019-07-07,50,False
2019-07-14,43,False
2019-07-21,48,False
2019-07-28,50,False
2019-08-04,54,False
2019-08-11,57,False
2019-08-18,58,False
2019-08-25,56,False
2019-09-01,57,False
2019-09-08,62,False
2019-09-15,59,False
2019-09-22,66,False
2019-09-29,61,False
2019-10-06,55,False
2019-10-13,58,False
2019-10-20,58,False
2019-10-27,66,False
2019-11-03,63,False
2019-11-10,65,False
2019-11-17,61,False
2019-11-24,69,False
2019-12-01,68,False
2019-12-08,69,False
2019-12-15,67,False
2019-12-22,78,False
2019-12-29,67,False
2020-01-05,55,False
2020-01-12,59,False
2020-01-19,57,False
2020-01-26,56,False
2020-02-02,55,False
2020-02-09,59,False
2020-02-16,55,False
2020-02-23,59,False
2020-03-01,59,False
2020-03-08,54,False
2020-03-15,63,False
2020-03-22,89,False
2020-03-29,86,False
2020-04-05,87,False
2020-04-12,100,False
2020-04-19,99,False
2020-04-26,92,False
2020-05-03,79,False
2020-05-10,80,False
2020-05-17,65,True
