date,Joyeria,isPartial
2018-01-07,50,False
2018-01-14,55,False
2018-01-21,14,False
2018-01-28,23,False
2018-02-04,61,False
2018-02-11,65,False
2018-02-18,33,False
2018-02-25,27,False
2018-03-04,36,False
2018-03-11,44,False
2018-03-18,37,False
2018-03-25,29,False
2018-04-01,35,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,22,False
2018-04-29,64,False
2018-05-06,27,False
2018-05-13,29,False
2018-05-20,22,False
2018-05-27,45,False
2018-06-03,43,False
2018-06-10,46,False
2018-06-17,43,False
2018-06-24,49,False
2018-07-01,40,False
2018-07-08,53,False
2018-07-15,41,False
2018-07-22,28,False
2018-07-29,58,False
2018-08-05,34,False
2018-08-12,70,False
2018-08-19,72,False
2018-08-26,50,False
2018-09-02,58,False
2018-09-09,23,False
2018-09-16,18,False
2018-09-23,44,False
2018-09-30,75,False
2018-10-07,46,False
2018-10-14,27,False
2018-10-21,54,False
2018-10-28,46,False
2018-11-04,68,False
2018-11-11,23,False
2018-11-18,71,False
2018-11-25,58,False
2018-12-02,73,False
2018-12-09,100,False
2018-12-16,79,False
2018-12-23,92,False
2018-12-30,86,False
2019-01-06,64,False
2019-01-13,48,False
2019-01-20,50,False
2019-01-27,55,False
2019-02-03,87,False
2019-02-10,22,False
2019-02-17,27,False
2019-02-24,44,False
2019-03-03,58,False
2019-03-10,58,False
2019-03-17,42,False
2019-03-24,32,False
2019-03-31,30,False
2019-04-07,48,False
2019-04-14,55,False
2019-04-21,30,False
2019-04-28,53,False
2019-05-05,47,False
2019-05-12,61,False
2019-05-19,43,False
2019-05-26,42,False
2019-06-02,68,False
2019-06-09,55,False
2019-06-16,42,False
2019-06-23,52,False
2019-06-30,38,False
2019-07-07,30,False
2019-07-14,31,False
2019-07-21,48,False
2019-07-28,61,False
2019-08-04,39,False
2019-08-11,53,False
2019-08-18,45,False
2019-08-25,53,False
2019-09-01,66,False
2019-09-08,67,False
2019-09-15,53,False
2019-09-22,41,False
2019-09-29,52,False
2019-10-06,41,False
2019-10-13,47,False
2019-10-20,32,False
2019-10-27,43,False
2019-11-03,51,False
2019-11-10,70,False
2019-11-17,44,False
2019-11-24,48,False
2019-12-01,67,False
2019-12-08,76,False
2019-12-15,62,False
2019-12-22,64,False
2019-12-29,85,False
2020-01-05,76,False
2020-01-12,25,False
2020-01-19,42,False
2020-01-26,55,False
2020-02-02,31,False
2020-02-09,40,False
2020-02-16,46,False
2020-02-23,42,False
2020-03-01,50,False
2020-03-08,46,False
2020-03-15,27,False
2020-03-22,13,False
2020-03-29,16,False
2020-04-05,33,False
2020-04-12,13,True
