date,Kochschule,isPartial
2018-01-07,34,False
2018-01-14,42,False
2018-01-21,65,False
2018-01-28,39,False
2018-02-04,61,False
2018-02-11,51,False
2018-02-18,29,False
2018-02-25,26,False
2018-03-04,47,False
2018-03-11,41,False
2018-03-18,18,False
2018-03-25,38,False
2018-04-01,35,False
2018-04-08,27,False
2018-04-15,34,False
2018-04-22,21,False
2018-04-29,27,False
2018-05-06,34,False
2018-05-13,30,False
2018-05-20,25,False
2018-05-27,22,False
2018-06-03,26,False
2018-06-10,31,False
2018-06-17,20,False
2018-06-24,34,False
2018-07-01,17,False
2018-07-08,14,False
2018-07-15,28,False
2018-07-22,14,False
2018-07-29,21,False
2018-08-05,24,False
2018-08-12,28,False
2018-08-19,16,False
2018-08-26,16,False
2018-09-02,34,False
2018-09-09,22,False
2018-09-16,41,False
2018-09-23,27,False
2018-09-30,15,False
2018-10-07,49,False
2018-10-14,32,False
2018-10-21,20,False
2018-10-28,26,False
2018-11-04,39,False
2018-11-11,34,False
2018-11-18,52,False
2018-11-25,39,False
2018-12-02,33,False
2018-12-09,51,False
2018-12-16,62,False
2018-12-23,37,False
2018-12-30,43,False
2019-01-06,64,False
2019-01-13,82,False
2019-01-20,48,False
2019-01-27,51,False
2019-02-03,64,False
2019-02-10,51,False
2019-02-17,62,False
2019-02-24,61,False
2019-03-03,53,False
2019-03-10,49,False
2019-03-17,60,False
2019-03-24,37,False
2019-03-31,32,False
2019-04-07,20,False
2019-04-14,30,False
2019-04-21,24,False
2019-04-28,19,False
2019-05-05,35,False
2019-05-12,38,False
2019-05-19,24,False
2019-05-26,14,False
2019-06-02,37,False
2019-06-09,13,False
2019-06-16,14,False
2019-06-23,14,False
2019-06-30,25,False
2019-07-07,26,False
2019-07-14,33,False
2019-07-21,46,False
2019-07-28,33,False
2019-08-04,24,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,30,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,20,False
2019-09-22,19,False
2019-09-29,32,False
2019-10-06,24,False
2019-10-13,21,False
2019-10-20,24,False
2019-10-27,21,False
2019-11-03,43,False
2019-11-10,39,False
2019-11-17,44,False
2019-11-24,59,False
2019-12-01,42,False
2019-12-08,100,False
2019-12-15,54,False
2019-12-22,40,False
2019-12-29,20,False
2020-01-05,28,False
2020-01-12,24,False
2020-01-19,35,False
2020-01-26,42,False
2020-02-02,54,False
2020-02-09,66,False
2020-02-16,28,False
2020-02-23,22,False
2020-03-01,41,False
2020-03-08,23,False
2020-03-15,10,False
2020-03-22,16,False
2020-03-29,11,False
2020-04-05,15,False
2020-04-12,21,False
2020-04-19,16,False
2020-04-26,22,False
2020-05-03,16,False
2020-05-10,17,False
2020-05-17,17,True
