date,Laminat verlegen,isPartial
2018-01-07,63,False
2018-01-14,43,False
2018-01-21,50,False
2018-01-28,58,False
2018-02-04,40,False
2018-02-11,59,False
2018-02-18,59,False
2018-02-25,50,False
2018-03-04,74,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,53,False
2018-04-01,57,False
2018-04-08,39,False
2018-04-15,92,False
2018-04-22,52,False
2018-04-29,53,False
2018-05-06,42,False
2018-05-13,52,False
2018-05-20,28,False
2018-05-27,35,False
2018-06-03,35,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,87,False
2018-07-01,0,False
2018-07-08,54,False
2018-07-15,58,False
2018-07-22,30,False
2018-07-29,46,False
2018-08-05,44,False
2018-08-12,44,False
2018-08-19,28,False
2018-08-26,67,False
2018-09-02,26,False
2018-09-09,35,False
2018-09-16,78,False
2018-09-23,79,False
2018-09-30,81,False
2018-10-07,22,False
2018-10-14,35,False
2018-10-21,36,False
2018-10-28,52,False
2018-11-04,65,False
2018-11-11,52,False
2018-11-18,34,False
2018-11-25,50,False
2018-12-02,51,False
2018-12-09,52,False
2018-12-16,28,False
2018-12-23,58,False
2018-12-30,73,False
2019-01-06,65,False
2019-01-13,65,False
2019-01-20,38,False
2019-01-27,53,False
2019-02-03,43,False
2019-02-10,91,False
2019-02-17,87,False
2019-02-24,62,False
2019-03-03,96,False
2019-03-10,49,False
2019-03-17,59,False
2019-03-24,51,False
2019-03-31,76,False
2019-04-07,71,False
2019-04-14,67,False
2019-04-21,28,False
2019-04-28,69,False
2019-05-05,50,False
2019-05-12,51,False
2019-05-19,25,False
2019-05-26,78,False
2019-06-02,22,False
2019-06-09,26,False
2019-06-16,64,False
2019-06-23,53,False
2019-06-30,26,False
2019-07-07,64,False
2019-07-14,44,False
2019-07-21,46,False
2019-07-28,44,False
2019-08-04,26,False
2019-08-11,68,False
2019-08-18,38,False
2019-08-25,24,False
2019-09-01,35,False
2019-09-08,25,False
2019-09-15,61,False
2019-09-22,57,False
2019-09-29,45,False
2019-10-06,50,False
2019-10-13,49,False
2019-10-20,36,False
2019-10-27,47,False
2019-11-03,83,False
2019-11-10,48,False
2019-11-17,32,False
2019-11-24,46,False
2019-12-01,29,False
2019-12-08,39,False
2019-12-15,100,False
2019-12-22,63,False
2019-12-29,51,False
2020-01-05,44,False
2020-01-12,0,False
2020-01-19,46,False
2020-01-26,31,False
2020-02-02,48,False
2020-02-09,48,False
2020-02-16,38,False
2020-02-23,33,False
2020-03-01,28,False
2020-03-08,50,False
2020-03-15,43,False
2020-03-22,22,False
2020-03-29,43,False
2020-04-05,67,False
2020-04-12,63,False
2020-04-19,23,False
2020-04-26,29,False
2020-05-03,60,False
2020-05-10,44,False
