date,Lebensmittel liefern lassen,isPartial
2018-01-07,11,False
2018-01-14,7,False
2018-01-21,9,False
2018-01-28,9,False
2018-02-04,4,False
2018-02-11,15,False
2018-02-18,8,False
2018-02-25,4,False
2018-03-04,8,False
2018-03-11,8,False
2018-03-18,6,False
2018-03-25,4,False
2018-04-01,4,False
2018-04-08,8,False
2018-04-15,4,False
2018-04-22,8,False
2018-04-29,4,False
2018-05-06,4,False
2018-05-13,4,False
2018-05-20,6,False
2018-05-27,6,False
2018-06-03,5,False
2018-06-10,4,False
2018-06-17,6,False
2018-06-24,4,False
2018-07-01,4,False
2018-07-08,8,False
2018-07-15,8,False
2018-07-22,4,False
2018-07-29,4,False
2018-08-05,4,False
2018-08-12,7,False
2018-08-19,4,False
2018-08-26,0,False
2018-09-02,6,False
2018-09-09,8,False
2018-09-16,8,False
2018-09-23,4,False
2018-09-30,12,False
2018-10-07,8,False
2018-10-14,6,False
2018-10-21,4,False
2018-10-28,7,False
2018-11-04,6,False
2018-11-11,6,False
2018-11-18,8,False
2018-11-25,6,False
2018-12-02,4,False
2018-12-09,6,False
2018-12-16,11,False
2018-12-23,13,False
2018-12-30,7,False
2019-01-06,7,False
2019-01-13,7,False
2019-01-20,7,False
2019-01-27,5,False
2019-02-03,8,False
2019-02-10,4,False
2019-02-17,4,False
2019-02-24,5,False
2019-03-03,6,False
2019-03-10,4,False
2019-03-17,5,False
2019-03-24,4,False
2019-03-31,6,False
2019-04-07,4,False
2019-04-14,4,False
2019-04-21,6,False
2019-04-28,11,False
2019-05-05,4,False
2019-05-12,4,False
2019-05-19,4,False
2019-05-26,9,False
2019-06-02,4,False
2019-06-09,6,False
2019-06-16,4,False
2019-06-23,4,False
2019-06-30,5,False
2019-07-07,4,False
2019-07-14,0,False
2019-07-21,4,False
2019-07-28,4,False
2019-08-04,6,False
2019-08-11,9,False
2019-08-18,5,False
2019-08-25,0,False
2019-09-01,4,False
2019-09-08,7,False
2019-09-15,8,False
2019-09-22,7,False
2019-09-29,6,False
2019-10-06,4,False
2019-10-13,5,False
2019-10-20,5,False
2019-10-27,3,False
2019-11-03,3,False
2019-11-10,5,False
2019-11-17,12,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,7,False
2019-12-15,7,False
2019-12-22,8,False
2019-12-29,15,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,6,False
2020-01-26,3,False
2020-02-02,10,False
2020-02-09,6,False
2020-02-16,5,False
2020-02-23,13,False
2020-03-01,9,False
2020-03-08,17,False
2020-03-15,76,False
2020-03-22,45,False
2020-03-29,100,False
2020-04-05,18,False
2020-04-12,3,False
2020-04-19,14,False
2020-04-26,10,False
2020-05-03,4,False
2020-05-10,4,False
2020-05-17,0,True
