date,Malerarbeiten,isPartial
2018-01-07,28,False
2018-01-14,27,False
2018-01-21,28,False
2018-01-28,32,False
2018-02-04,100,False
2018-02-11,47,False
2018-02-18,28,False
2018-02-25,32,False
2018-03-04,19,False
2018-03-11,60,False
2018-03-18,38,False
2018-03-25,25,False
2018-04-01,35,False
2018-04-08,37,False
2018-04-15,43,False
2018-04-22,50,False
2018-04-29,62,False
2018-05-06,29,False
2018-05-13,42,False
2018-05-20,15,False
2018-05-27,42,False
2018-06-03,19,False
2018-06-10,40,False
2018-06-17,41,False
2018-06-24,24,False
2018-07-01,23,False
2018-07-08,27,False
2018-07-15,43,False
2018-07-22,39,False
2018-07-29,25,False
2018-08-05,59,False
2018-08-12,55,False
2018-08-19,34,False
2018-08-26,62,False
2018-09-02,57,False
2018-09-09,43,False
2018-09-16,38,False
2018-09-23,29,False
2018-09-30,65,False
2018-10-07,57,False
2018-10-14,50,False
2018-10-21,65,False
2018-10-28,70,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,45,False
2018-12-02,45,False
2018-12-09,50,False
2018-12-16,51,False
2018-12-23,79,False
2018-12-30,24,False
2019-01-06,57,False
2019-01-13,60,False
2019-01-20,38,False
2019-01-27,43,False
2019-02-03,78,False
2019-02-10,97,False
2019-02-17,44,False
2019-02-24,68,False
2019-03-03,70,False
2019-03-10,64,False
2019-03-17,54,False
2019-03-24,45,False
2019-03-31,84,False
2019-04-07,49,False
2019-04-14,34,False
2019-04-21,67,False
2019-04-28,36,False
2019-05-05,43,False
2019-05-12,54,False
2019-05-19,44,False
2019-05-26,36,False
2019-06-02,58,False
2019-06-09,54,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,76,False
2019-07-07,40,False
2019-07-14,37,False
2019-07-21,15,False
2019-07-28,29,False
2019-08-04,15,False
2019-08-11,47,False
2019-08-18,23,False
2019-08-25,58,False
2019-09-01,35,False
2019-09-08,40,False
2019-09-15,50,False
2019-09-22,73,False
2019-09-29,35,False
2019-10-06,26,False
2019-10-13,39,False
2019-10-20,73,False
2019-10-27,38,False
2019-11-03,41,False
2019-11-10,50,False
2019-11-17,41,False
2019-11-24,36,False
2019-12-01,25,False
2019-12-08,37,False
2019-12-15,33,False
2019-12-22,22,False
2019-12-29,61,False
2020-01-05,36,False
2020-01-12,46,False
2020-01-19,55,False
2020-01-26,55,False
2020-02-02,54,False
2020-02-09,27,False
2020-02-16,32,False
2020-02-23,38,False
2020-03-01,17,False
2020-03-08,25,False
2020-03-15,40,False
2020-03-22,36,False
2020-03-29,32,False
2020-04-05,39,False
2020-04-12,33,False
2020-04-19,25,False
2020-04-26,35,False
2020-05-03,54,False
2020-05-10,36,False
2020-05-17,64,True
