date,Partylocation,isPartial
2018-01-07,72,False
2018-01-14,61,False
2018-01-21,41,False
2018-01-28,61,False
2018-02-04,47,False
2018-02-11,54,False
2018-02-18,32,False
2018-02-25,64,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,0,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,44,False
2018-04-15,100,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,34,False
2018-06-03,48,False
2018-06-10,61,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,32,False
2018-08-05,44,False
2018-08-12,34,False
2018-08-19,52,False
2018-08-26,34,False
2018-09-02,33,False
2018-09-09,32,False
2018-09-16,48,False
2018-09-23,32,False
2018-09-30,48,False
2018-10-07,63,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,61,False
2018-11-11,31,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,30,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,37,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,43,False
2019-02-03,58,False
2019-02-10,44,False
2019-02-17,30,False
2019-02-24,30,False
2019-03-03,51,False
2019-03-10,58,False
2019-03-17,0,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,46,False
2019-04-14,33,False
2019-04-21,49,False
2019-04-28,30,False
2019-05-05,58,False
2019-05-12,0,False
2019-05-19,29,False
2019-05-26,61,False
2019-06-02,31,False
2019-06-09,43,False
2019-06-16,47,False
2019-06-23,31,False
2019-06-30,90,False
2019-07-07,57,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,32,False
2019-08-11,65,False
2019-08-18,66,False
2019-08-25,32,False
2019-09-01,30,False
2019-09-08,90,False
2019-09-15,30,False
2019-09-22,29,False
2019-09-29,44,False
2019-10-06,29,False
2019-10-13,38,False
2019-10-20,28,False
2019-10-27,43,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,58,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,31,False
2020-01-05,41,False
2020-01-12,44,False
2020-01-19,68,False
2020-01-26,80,False
2020-02-02,53,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,65,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,25,False
2020-05-10,24,False
2020-05-17,0,True
