date,Peluquero,isPartial
2018-01-07,51,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,37,False
2018-02-04,50,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,24,False
2018-03-04,25,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,49,False
2018-04-15,50,False
2018-04-22,24,False
2018-04-29,51,False
2018-05-06,37,False
2018-05-13,0,False
2018-05-20,25,False
2018-05-27,50,False
2018-06-03,0,False
2018-06-10,24,False
2018-06-17,53,False
2018-06-24,26,False
2018-07-01,26,False
2018-07-08,0,False
2018-07-15,82,False
2018-07-22,82,False
2018-07-29,41,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,57,False
2018-08-26,54,False
2018-09-02,37,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,49,False
2018-09-30,38,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,25,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,38,False
2018-12-02,27,False
2018-12-09,26,False
2018-12-16,66,False
2018-12-23,59,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,73,False
2019-01-20,23,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,37,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,26,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,26,False
2019-04-14,24,False
2019-04-21,50,False
2019-04-28,24,False
2019-05-05,74,False
2019-05-12,25,False
2019-05-19,36,False
2019-05-26,47,False
2019-06-02,70,False
2019-06-09,49,False
2019-06-16,49,False
2019-06-23,50,False
2019-06-30,25,False
2019-07-07,100,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,40,False
2019-08-04,27,False
2019-08-11,27,False
2019-08-18,79,False
2019-08-25,25,False
2019-09-01,35,False
2019-09-08,22,False
2019-09-15,0,False
2019-09-22,47,False
2019-09-29,23,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,21,False
2019-10-27,23,False
2019-11-03,44,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,21,False
2019-12-01,43,False
2019-12-08,23,False
2019-12-15,22,False
2019-12-22,24,False
2019-12-29,24,False
2020-01-05,22,False
2020-01-12,20,False
2020-01-19,29,False
2020-01-26,52,False
2020-02-02,30,False
2020-02-09,31,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,19,False
2020-03-08,37,False
2020-03-15,35,False
2020-03-22,16,False
2020-03-29,48,False
2020-04-05,27,False
2020-04-12,29,True
