date,Psicoterapia,isPartial
2018-01-07,39,False
2018-01-14,39,False
2018-01-21,84,False
2018-01-28,46,False
2018-02-04,68,False
2018-02-11,39,False
2018-02-18,35,False
2018-02-25,44,False
2018-03-04,38,False
2018-03-11,53,False
2018-03-18,23,False
2018-03-25,64,False
2018-04-01,55,False
2018-04-08,58,False
2018-04-15,100,False
2018-04-22,53,False
2018-04-29,53,False
2018-05-06,65,False
2018-05-13,38,False
2018-05-20,54,False
2018-05-27,23,False
2018-06-03,37,False
2018-06-10,43,False
2018-06-17,36,False
2018-06-24,55,False
2018-07-01,35,False
2018-07-08,45,False
2018-07-15,23,False
2018-07-22,24,False
2018-07-29,49,False
2018-08-05,66,False
2018-08-12,43,False
2018-08-19,51,False
2018-08-26,55,False
2018-09-02,23,False
2018-09-09,35,False
2018-09-16,52,False
2018-09-23,38,False
2018-09-30,91,False
2018-10-07,77,False
2018-10-14,67,False
2018-10-21,46,False
2018-10-28,63,False
2018-11-04,38,False
2018-11-11,30,False
2018-11-18,59,False
2018-11-25,69,False
2018-12-02,72,False
2018-12-09,39,False
2018-12-16,47,False
2018-12-23,28,False
2018-12-30,70,False
2019-01-06,93,False
2019-01-13,60,False
2019-01-20,50,False
2019-01-27,33,False
2019-02-03,23,False
2019-02-10,38,False
2019-02-17,34,False
2019-02-24,75,False
2019-03-03,45,False
2019-03-10,67,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,44,False
2019-04-07,59,False
2019-04-14,24,False
2019-04-21,22,False
2019-04-28,50,False
2019-05-05,80,False
2019-05-12,43,False
2019-05-19,84,False
2019-05-26,35,False
2019-06-02,42,False
2019-06-09,36,False
2019-06-16,44,False
2019-06-23,46,False
2019-06-30,30,False
2019-07-07,57,False
2019-07-14,37,False
2019-07-21,38,False
2019-07-28,32,False
2019-08-04,24,False
2019-08-11,62,False
2019-08-18,24,False
2019-08-25,68,False
2019-09-01,43,False
2019-09-08,53,False
2019-09-15,75,False
2019-09-22,35,False
2019-09-29,41,False
2019-10-06,54,False
2019-10-13,60,False
2019-10-20,80,False
2019-10-27,31,False
2019-11-03,34,False
2019-11-10,93,False
2019-11-17,62,False
2019-11-24,40,False
2019-12-01,94,False
2019-12-08,35,False
2019-12-15,52,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,35,False
2020-01-12,32,False
2020-01-19,63,False
2020-01-26,69,False
2020-02-02,66,False
2020-02-09,47,False
2020-02-16,60,False
2020-02-23,38,False
2020-03-01,95,False
2020-03-08,63,False
2020-03-15,58,False
2020-03-22,45,False
2020-03-29,36,False
2020-04-05,39,False
2020-04-12,66,False
2020-04-19,58,False
2020-04-26,41,False
2020-05-03,35,False
2020-05-10,23,False
2020-05-17,68,True
