date,Reparatur Waschmaschine,isPartial
2018-01-07,64,False
2018-01-14,32,False
2018-01-21,0,False
2018-01-28,47,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,68,False
2018-04-22,34,False
2018-04-29,34,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,35,False
2018-06-03,77,False
2018-06-10,47,False
2018-06-17,53,False
2018-06-24,53,False
2018-07-01,47,False
2018-07-08,62,False
2018-07-15,31,False
2018-07-22,32,False
2018-07-29,43,False
2018-08-05,34,False
2018-08-12,36,False
2018-08-19,35,False
2018-08-26,35,False
2018-09-02,69,False
2018-09-09,49,False
2018-09-16,50,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,33,False
2018-10-28,33,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,46,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,38,False
2018-12-30,34,False
2019-01-06,30,False
2019-01-13,44,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,74,False
2019-02-10,30,False
2019-02-17,31,False
2019-02-24,77,False
2019-03-03,0,False
2019-03-10,60,False
2019-03-17,64,False
2019-03-24,64,False
2019-03-31,32,False
2019-04-07,47,False
2019-04-14,0,False
2019-04-21,100,False
2019-04-28,31,False
2019-05-05,75,False
2019-05-12,30,False
2019-05-19,30,False
2019-05-26,63,False
2019-06-02,63,False
2019-06-09,66,False
2019-06-16,33,False
2019-06-23,63,False
2019-06-30,77,False
2019-07-07,0,False
2019-07-14,47,False
2019-07-21,32,False
2019-07-28,31,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,34,False
2019-08-25,82,False
2019-09-01,47,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,60,False
2019-10-13,30,False
2019-10-20,44,False
2019-10-27,29,False
2019-11-03,57,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,63,False
2020-01-05,37,False
2020-01-12,68,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,54,False
2020-02-09,0,False
2020-02-16,38,False
2020-02-23,41,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,41,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,27,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,38,False
2020-05-03,38,False
2020-05-10,60,False
