date,Räumlichkeiten zum Feiern,isPartial
2018-01-07,47,False
2018-01-14,46,False
2018-01-21,63,False
2018-01-28,94,False
2018-02-04,48,False
2018-02-11,48,False
2018-02-18,40,False
2018-02-25,59,False
2018-03-04,48,False
2018-03-11,36,False
2018-03-18,48,False
2018-03-25,25,False
2018-04-01,25,False
2018-04-08,0,False
2018-04-15,100,False
2018-04-22,24,False
2018-04-29,50,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,49,False
2018-06-03,49,False
2018-06-10,46,False
2018-06-17,24,False
2018-06-24,49,False
2018-07-01,36,False
2018-07-08,36,False
2018-07-15,25,False
2018-07-22,50,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,50,False
2018-08-19,33,False
2018-08-26,49,False
2018-09-02,24,False
2018-09-09,48,False
2018-09-16,36,False
2018-09-23,37,False
2018-09-30,73,False
2018-10-07,48,False
2018-10-14,48,False
2018-10-21,23,False
2018-10-28,35,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,45,False
2018-11-25,39,False
2018-12-02,23,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,50,False
2019-01-06,67,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,36,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,45,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,35,False
2019-03-24,34,False
2019-03-31,0,False
2019-04-07,23,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,23,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,45,False
2019-06-09,23,False
2019-06-16,35,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,23,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,55,False
2019-08-25,46,False
2019-09-01,22,False
2019-09-08,34,False
2019-09-15,0,False
2019-09-22,33,False
2019-09-29,30,False
2019-10-06,55,False
2019-10-13,22,False
2019-10-20,0,False
2019-10-27,21,False
2019-11-03,31,False
2019-11-10,63,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,0,False
2019-12-08,32,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,69,False
2020-01-05,41,False
2020-01-12,20,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,19,False
2020-05-17,44,True
