date,Schlosserei,isPartial
2018-01-07,62,False
2018-01-14,49,False
2018-01-21,91,False
2018-01-28,70,False
2018-02-04,51,False
2018-02-11,78,False
2018-02-18,47,False
2018-02-25,56,False
2018-03-04,71,False
2018-03-11,83,False
2018-03-18,53,False
2018-03-25,92,False
2018-04-01,63,False
2018-04-08,62,False
2018-04-15,97,False
2018-04-22,49,False
2018-04-29,98,False
2018-05-06,62,False
2018-05-13,52,False
2018-05-20,68,False
2018-05-27,68,False
2018-06-03,80,False
2018-06-10,40,False
2018-06-17,46,False
2018-06-24,92,False
2018-07-01,76,False
2018-07-08,68,False
2018-07-15,79,False
2018-07-22,59,False
2018-07-29,75,False
2018-08-05,78,False
2018-08-12,62,False
2018-08-19,73,False
2018-08-26,51,False
2018-09-02,89,False
2018-09-09,63,False
2018-09-16,54,False
2018-09-23,75,False
2018-09-30,48,False
2018-10-07,63,False
2018-10-14,61,False
2018-10-21,61,False
2018-10-28,35,False
2018-11-04,48,False
2018-11-11,40,False
2018-11-18,70,False
2018-11-25,63,False
2018-12-02,43,False
2018-12-09,46,False
2018-12-16,47,False
2018-12-23,20,False
2018-12-30,49,False
2019-01-06,61,False
2019-01-13,51,False
2019-01-20,49,False
2019-01-27,89,False
2019-02-03,49,False
2019-02-10,70,False
2019-02-17,76,False
2019-02-24,74,False
2019-03-03,75,False
2019-03-10,54,False
2019-03-17,60,False
2019-03-24,85,False
2019-03-31,100,False
2019-04-07,88,False
2019-04-14,80,False
2019-04-21,51,False
2019-04-28,51,False
2019-05-05,66,False
2019-05-12,65,False
2019-05-19,81,False
2019-05-26,60,False
2019-06-02,39,False
2019-06-09,46,False
2019-06-16,66,False
2019-06-23,83,False
2019-06-30,81,False
2019-07-07,72,False
2019-07-14,56,False
2019-07-21,48,False
2019-07-28,49,False
2019-08-04,65,False
2019-08-11,65,False
2019-08-18,74,False
2019-08-25,76,False
2019-09-01,86,False
2019-09-08,93,False
2019-09-15,71,False
2019-09-22,58,False
2019-09-29,42,False
2019-10-06,43,False
2019-10-13,83,False
2019-10-20,58,False
2019-10-27,43,False
2019-11-03,62,False
2019-11-10,71,False
2019-11-17,80,False
2019-11-24,43,False
2019-12-01,47,False
2019-12-08,57,False
2019-12-15,63,False
2019-12-22,12,False
2019-12-29,30,False
2020-01-05,53,False
2020-01-12,51,False
2020-01-19,53,False
2020-01-26,52,False
2020-02-02,49,False
2020-02-09,76,False
2020-02-16,70,False
2020-02-23,45,False
2020-03-01,50,False
2020-03-08,55,False
2020-03-15,36,False
2020-03-22,50,False
2020-03-29,49,False
2020-04-05,56,False
2020-04-12,44,False
2020-04-19,55,False
2020-04-26,49,False
2020-05-03,68,False
2020-05-10,66,False
