date,Schlüssel Notdienst,isPartial
2018-01-07,39,False
2018-01-14,39,False
2018-01-21,39,False
2018-01-28,39,False
2018-02-04,53,False
2018-02-11,40,False
2018-02-18,40,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,0,False
2018-03-18,40,False
2018-03-25,42,False
2018-04-01,64,False
2018-04-08,82,False
2018-04-15,42,False
2018-04-22,79,False
2018-04-29,41,False
2018-05-06,42,False
2018-05-13,40,False
2018-05-20,43,False
2018-05-27,41,False
2018-06-03,40,False
2018-06-10,77,False
2018-06-17,39,False
2018-06-24,40,False
2018-07-01,79,False
2018-07-08,40,False
2018-07-15,41,False
2018-07-22,55,False
2018-07-29,62,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,41,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,40,False
2018-09-16,80,False
2018-09-23,41,False
2018-09-30,40,False
2018-10-07,40,False
2018-10-14,40,False
2018-10-21,0,False
2018-10-28,39,False
2018-11-04,0,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,0,False
2018-12-16,60,False
2018-12-23,91,False
2018-12-30,69,False
2019-01-06,37,False
2019-01-13,36,False
2019-01-20,36,False
2019-01-27,0,False
2019-02-03,37,False
2019-02-10,38,False
2019-02-17,37,False
2019-02-24,76,False
2019-03-03,37,False
2019-03-10,37,False
2019-03-17,38,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,37,False
2019-04-14,41,False
2019-04-21,40,False
2019-04-28,37,False
2019-05-05,37,False
2019-05-12,38,False
2019-05-19,38,False
2019-05-26,58,False
2019-06-02,37,False
2019-06-09,38,False
2019-06-16,39,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,82,False
2019-07-28,40,False
2019-08-04,40,False
2019-08-11,38,False
2019-08-18,0,False
2019-08-25,38,False
2019-09-01,74,False
2019-09-08,76,False
2019-09-15,57,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,36,False
2019-10-13,36,False
2019-10-20,36,False
2019-10-27,54,False
2019-11-03,35,False
2019-11-10,35,False
2019-11-17,70,False
2019-11-24,0,False
2019-12-01,35,False
2019-12-08,35,False
2019-12-15,36,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,34,False
2020-01-12,49,False
2020-01-19,34,False
2020-01-26,49,False
2020-02-02,100,False
2020-02-09,65,False
2020-02-16,0,False
2020-02-23,49,False
2020-03-01,33,False
2020-03-08,46,False
2020-03-15,60,False
2020-03-22,0,False
2020-03-29,30,False
2020-04-05,0,False
2020-04-12,31,False
2020-04-19,0,False
2020-04-26,59,False
2020-05-03,30,False
2020-05-10,0,False
