date,Schlüssel nachmachen,isPartial
2018-01-07,47,False
2018-01-14,28,False
2018-01-21,57,False
2018-01-28,28,False
2018-02-04,78,False
2018-02-11,39,False
2018-02-18,29,False
2018-02-25,57,False
2018-03-04,0,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,63,False
2018-04-08,20,False
2018-04-15,0,False
2018-04-22,39,False
2018-04-29,31,False
2018-05-06,41,False
2018-05-13,30,False
2018-05-20,50,False
2018-05-27,20,False
2018-06-03,30,False
2018-06-10,19,False
2018-06-17,60,False
2018-06-24,21,False
2018-07-01,41,False
2018-07-08,20,False
2018-07-15,42,False
2018-07-22,20,False
2018-07-29,0,False
2018-08-05,38,False
2018-08-12,39,False
2018-08-19,0,False
2018-08-26,58,False
2018-09-02,49,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,100,False
2018-09-30,21,False
2018-10-07,41,False
2018-10-14,40,False
2018-10-21,39,False
2018-10-28,28,False
2018-11-04,19,False
2018-11-11,38,False
2018-11-18,0,False
2018-11-25,28,False
2018-12-02,0,False
2018-12-09,38,False
2018-12-16,20,False
2018-12-23,21,False
2018-12-30,29,False
2019-01-06,36,False
2019-01-13,18,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,18,False
2019-02-10,28,False
2019-02-17,37,False
2019-02-24,39,False
2019-03-03,18,False
2019-03-10,18,False
2019-03-17,38,False
2019-03-24,19,False
2019-03-31,0,False
2019-04-07,28,False
2019-04-14,20,False
2019-04-21,39,False
2019-04-28,38,False
2019-05-05,18,False
2019-05-12,28,False
2019-05-19,37,False
2019-05-26,56,False
2019-06-02,19,False
2019-06-09,28,False
2019-06-16,19,False
2019-06-23,38,False
2019-06-30,39,False
2019-07-07,57,False
2019-07-14,40,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,29,False
2019-08-11,18,False
2019-08-18,18,False
2019-08-25,55,False
2019-09-01,37,False
2019-09-08,37,False
2019-09-15,19,False
2019-09-22,27,False
2019-09-29,19,False
2019-10-06,18,False
2019-10-13,71,False
2019-10-20,18,False
2019-10-27,17,False
2019-11-03,25,False
2019-11-10,17,False
2019-11-17,34,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,17,False
2019-12-15,26,False
2019-12-22,19,False
2019-12-29,0,False
2020-01-05,33,False
2020-01-12,16,False
2020-01-19,16,False
2020-01-26,49,False
2020-02-02,48,False
2020-02-09,16,False
2020-02-16,17,False
2020-02-23,32,False
2020-03-01,55,False
2020-03-08,0,False
2020-03-15,29,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,15,False
2020-04-12,44,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,43,False
2020-05-10,29,False
