date,Sektionaltor,isPartial
2018-01-07,65,False
2018-01-14,27,False
2018-01-21,41,False
2018-01-28,82,False
2018-02-04,42,False
2018-02-11,42,False
2018-02-18,32,False
2018-02-25,36,False
2018-03-04,28,False
2018-03-11,64,False
2018-03-18,32,False
2018-03-25,49,False
2018-04-01,34,False
2018-04-08,46,False
2018-04-15,33,False
2018-04-22,45,False
2018-04-29,71,False
2018-05-06,57,False
2018-05-13,41,False
2018-05-20,63,False
2018-05-27,37,False
2018-06-03,69,False
2018-06-10,62,False
2018-06-17,67,False
2018-06-24,73,False
2018-07-01,86,False
2018-07-08,57,False
2018-07-15,56,False
2018-07-22,53,False
2018-07-29,49,False
2018-08-05,68,False
2018-08-12,53,False
2018-08-19,47,False
2018-08-26,75,False
2018-09-02,61,False
2018-09-09,70,False
2018-09-16,56,False
2018-09-23,66,False
2018-09-30,61,False
2018-10-07,47,False
2018-10-14,47,False
2018-10-21,66,False
2018-10-28,59,False
2018-11-04,31,False
2018-11-11,36,False
2018-11-18,48,False
2018-11-25,62,False
2018-12-02,40,False
2018-12-09,22,False
2018-12-16,32,False
2018-12-23,31,False
2018-12-30,48,False
2019-01-06,51,False
2019-01-13,25,False
2019-01-20,72,False
2019-01-27,54,False
2019-02-03,34,False
2019-02-10,43,False
2019-02-17,100,False
2019-02-24,49,False
2019-03-03,52,False
2019-03-10,72,False
2019-03-17,62,False
2019-03-24,97,False
2019-03-31,65,False
2019-04-07,57,False
2019-04-14,52,False
2019-04-21,56,False
2019-04-28,44,False
2019-05-05,59,False
2019-05-12,40,False
2019-05-19,35,False
2019-05-26,53,False
2019-06-02,39,False
2019-06-09,80,False
2019-06-16,76,False
2019-06-23,27,False
2019-06-30,34,False
2019-07-07,17,False
2019-07-14,59,False
2019-07-21,59,False
2019-07-28,29,False
2019-08-04,24,False
2019-08-11,46,False
2019-08-18,46,False
2019-08-25,48,False
2019-09-01,60,False
2019-09-08,62,False
2019-09-15,53,False
2019-09-22,51,False
2019-09-29,47,False
2019-10-06,67,False
2019-10-13,43,False
2019-10-20,39,False
2019-10-27,80,False
2019-11-03,36,False
2019-11-10,41,False
2019-11-17,12,False
2019-11-24,39,False
2019-12-01,20,False
2019-12-08,57,False
2019-12-15,37,False
2019-12-22,28,False
2019-12-29,36,False
2020-01-05,51,False
2020-01-12,68,False
2020-01-19,62,False
2020-01-26,31,False
2020-02-02,50,False
2020-02-09,48,False
2020-02-16,54,False
2020-02-23,41,False
2020-03-01,30,False
2020-03-08,25,False
2020-03-15,21,False
2020-03-22,39,False
2020-03-29,31,False
2020-04-05,42,False
2020-04-12,73,False
2020-04-19,56,False
2020-04-26,76,False
2020-05-03,49,False
2020-05-10,67,False
