date,Straßenbau,isPartial
2018-01-07,59,False
2018-01-14,42,False
2018-01-21,100,False
2018-01-28,61,False
2018-02-04,45,False
2018-02-11,55,False
2018-02-18,43,False
2018-02-25,35,False
2018-03-04,42,False
2018-03-11,35,False
2018-03-18,36,False
2018-03-25,44,False
2018-04-01,52,False
2018-04-08,55,False
2018-04-15,50,False
2018-04-22,30,False
2018-04-29,38,False
2018-05-06,94,False
2018-05-13,58,False
2018-05-20,30,False
2018-05-27,35,False
2018-06-03,48,False
2018-06-10,47,False
2018-06-17,26,False
2018-06-24,54,False
2018-07-01,55,False
2018-07-08,31,False
2018-07-15,67,False
2018-07-22,69,False
2018-07-29,37,False
2018-08-05,52,False
2018-08-12,46,False
2018-08-19,29,False
2018-08-26,35,False
2018-09-02,44,False
2018-09-09,29,False
2018-09-16,48,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,68,False
2018-10-14,36,False
2018-10-21,28,False
2018-10-28,22,False
2018-11-04,39,False
2018-11-11,40,False
2018-11-18,22,False
2018-11-25,34,False
2018-12-02,17,False
2018-12-09,26,False
2018-12-16,18,False
2018-12-23,39,False
2018-12-30,45,False
2019-01-06,33,False
2019-01-13,32,False
2019-01-20,37,False
2019-01-27,27,False
2019-02-03,55,False
2019-02-10,55,False
2019-02-17,41,False
2019-02-24,23,False
2019-03-03,55,False
2019-03-10,38,False
2019-03-17,29,False
2019-03-24,90,False
2019-03-31,46,False
2019-04-07,62,False
2019-04-14,37,False
2019-04-21,36,False
2019-04-28,55,False
2019-05-05,38,False
2019-05-12,42,False
2019-05-19,28,False
2019-05-26,17,False
2019-06-02,56,False
2019-06-09,45,False
2019-06-16,44,False
2019-06-23,63,False
2019-06-30,33,False
2019-07-07,34,False
2019-07-14,48,False
2019-07-21,25,False
2019-07-28,26,False
2019-08-04,35,False
2019-08-11,23,False
2019-08-18,17,False
2019-08-25,28,False
2019-09-01,54,False
2019-09-08,56,False
2019-09-15,45,False
2019-09-22,39,False
2019-09-29,32,False
2019-10-06,49,False
2019-10-13,42,False
2019-10-20,39,False
2019-10-27,31,False
2019-11-03,36,False
2019-11-10,31,False
2019-11-17,31,False
2019-11-24,15,False
2019-12-01,40,False
2019-12-08,26,False
2019-12-15,21,False
2019-12-22,29,False
2019-12-29,17,False
2020-01-05,39,False
2020-01-12,15,False
2020-01-19,35,False
2020-01-26,24,False
2020-02-02,44,False
2020-02-09,31,False
2020-02-16,25,False
2020-02-23,72,False
2020-03-01,58,False
2020-03-08,14,False
2020-03-15,31,False
2020-03-22,46,False
2020-03-29,35,False
2020-04-05,44,False
2020-04-12,23,False
2020-04-19,41,False
2020-04-26,18,False
2020-05-03,54,False
2020-05-10,36,False
