date,Tentes,isPartial
2018-01-07,53,False
2018-01-14,46,False
2018-01-21,45,False
2018-01-28,46,False
2018-02-04,66,False
2018-02-11,60,False
2018-02-18,32,False
2018-02-25,63,False
2018-03-04,47,False
2018-03-11,54,False
2018-03-18,20,False
2018-03-25,61,False
2018-04-01,63,False
2018-04-08,27,False
2018-04-15,58,False
2018-04-22,28,False
2018-04-29,69,False
2018-05-06,44,False
2018-05-13,80,False
2018-05-20,62,False
2018-05-27,78,False
2018-06-03,72,False
2018-06-10,77,False
2018-06-17,52,False
2018-06-24,59,False
2018-07-01,77,False
2018-07-08,41,False
2018-07-15,100,False
2018-07-22,75,False
2018-07-29,87,False
2018-08-05,99,False
2018-08-12,95,False
2018-08-19,64,False
2018-08-26,43,False
2018-09-02,67,False
2018-09-09,68,False
2018-09-16,33,False
2018-09-23,50,False
2018-09-30,20,False
2018-10-07,59,False
2018-10-14,19,False
2018-10-21,38,False
2018-10-28,35,False
2018-11-04,46,False
2018-11-11,75,False
2018-11-18,29,False
2018-11-25,53,False
2018-12-02,88,False
2018-12-09,30,False
2018-12-16,41,False
2018-12-23,50,False
2018-12-30,31,False
2019-01-06,20,False
2019-01-13,40,False
2019-01-20,39,False
2019-01-27,32,False
2019-02-03,28,False
2019-02-10,39,False
2019-02-17,20,False
2019-02-24,47,False
2019-03-03,69,False
2019-03-10,53,False
2019-03-17,47,False
2019-03-24,49,False
2019-03-31,41,False
2019-04-07,42,False
2019-04-14,50,False
2019-04-21,75,False
2019-04-28,33,False
2019-05-05,51,False
2019-05-12,49,False
2019-05-19,55,False
2019-05-26,50,False
2019-06-02,51,False
2019-06-09,90,False
2019-06-16,90,False
2019-06-23,84,False
2019-06-30,98,False
2019-07-07,64,False
2019-07-14,53,False
2019-07-21,96,False
2019-07-28,50,False
2019-08-04,88,False
2019-08-11,93,False
2019-08-18,44,False
2019-08-25,35,False
2019-09-01,20,False
2019-09-08,31,False
2019-09-15,54,False
2019-09-22,46,False
2019-09-29,32,False
2019-10-06,50,False
2019-10-13,20,False
2019-10-20,41,False
2019-10-27,70,False
2019-11-03,78,False
2019-11-10,27,False
2019-11-17,20,False
2019-11-24,19,False
2019-12-01,57,False
2019-12-08,19,False
2019-12-15,30,False
2019-12-22,36,False
2019-12-29,22,False
2020-01-05,29,False
2020-01-12,57,False
2020-01-19,39,False
2020-01-26,51,False
2020-02-02,26,False
2020-02-09,39,False
2020-02-16,40,False
2020-02-23,56,False
2020-03-01,37,False
2020-03-08,30,False
2020-03-15,52,False
2020-03-22,49,False
2020-03-29,49,False
2020-04-05,45,False
2020-04-12,33,False
2020-04-19,19,False
2020-04-26,50,False
2020-05-03,60,False
2020-05-10,44,False
2020-05-17,34,True
