date,Trockeneis reinigen,isPartial
2018-01-07,47,False
2018-01-14,0,False
2018-01-21,46,False
2018-01-28,45,False
2018-02-04,47,False
2018-02-11,47,False
2018-02-18,47,False
2018-02-25,46,False
2018-03-04,0,False
2018-03-11,46,False
2018-03-18,47,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,49,False
2018-04-22,47,False
2018-04-29,49,False
2018-05-06,50,False
2018-05-13,47,False
2018-05-20,100,False
2018-05-27,48,False
2018-06-03,48,False
2018-06-10,46,False
2018-06-17,46,False
2018-06-24,48,False
2018-07-01,0,False
2018-07-08,47,False
2018-07-15,49,False
2018-07-22,98,False
2018-07-29,0,False
2018-08-05,48,False
2018-08-12,50,False
2018-08-19,49,False
2018-08-26,48,False
2018-09-02,0,False
2018-09-09,47,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,45,False
2018-11-25,46,False
2018-12-02,68,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,54,False
2018-12-30,98,False
2019-01-06,0,False
2019-01-13,43,False
2019-01-20,64,False
2019-01-27,87,False
2019-02-03,44,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,46,False
2019-03-03,45,False
2019-03-10,43,False
2019-03-17,46,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,49,False
2019-04-21,47,False
2019-04-28,44,False
2019-05-05,88,False
2019-05-12,46,False
2019-05-19,88,False
2019-05-26,46,False
2019-06-02,0,False
2019-06-09,46,False
2019-06-16,0,False
2019-06-23,45,False
2019-06-30,45,False
2019-07-07,0,False
2019-07-14,46,False
2019-07-21,49,False
2019-07-28,47,False
2019-08-04,48,False
2019-08-11,45,False
2019-08-18,69,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,45,False
2019-09-15,45,False
2019-09-22,43,False
2019-09-29,0,False
2019-10-06,43,False
2019-10-13,0,False
2019-10-20,43,False
2019-10-27,42,False
2019-11-03,0,False
2019-11-10,41,False
2019-11-17,0,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,84,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,39,False
2020-02-02,39,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,39,False
2020-03-08,36,False
2020-03-15,36,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,39,False
2020-04-12,50,False
2020-04-19,37,False
2020-04-26,35,False
2020-05-03,0,False
2020-05-10,0,False
