date,Wohnzimmer streichen,isPartial
2018-01-07,50,False
2018-01-14,49,False
2018-01-21,44,False
2018-01-28,99,False
2018-02-04,77,False
2018-02-11,70,False
2018-02-18,76,False
2018-02-25,44,False
2018-03-04,83,False
2018-03-11,50,False
2018-03-18,64,False
2018-03-25,50,False
2018-04-01,95,False
2018-04-08,46,False
2018-04-15,27,False
2018-04-22,19,False
2018-04-29,80,False
2018-05-06,71,False
2018-05-13,64,False
2018-05-20,41,False
2018-05-27,20,False
2018-06-03,52,False
2018-06-10,37,False
2018-06-17,50,False
2018-06-24,39,False
2018-07-01,38,False
2018-07-08,44,False
2018-07-15,53,False
2018-07-22,30,False
2018-07-29,40,False
2018-08-05,39,False
2018-08-12,60,False
2018-08-19,39,False
2018-08-26,59,False
2018-09-02,78,False
2018-09-09,96,False
2018-09-16,57,False
2018-09-23,77,False
2018-09-30,97,False
2018-10-07,84,False
2018-10-14,57,False
2018-10-21,37,False
2018-10-28,100,False
2018-11-04,73,False
2018-11-11,99,False
2018-11-18,61,False
2018-11-25,43,False
2018-12-02,37,False
2018-12-09,47,False
2018-12-16,57,False
2018-12-23,44,False
2018-12-30,72,False
2019-01-06,47,False
2019-01-13,52,False
2019-01-20,63,False
2019-01-27,78,False
2019-02-03,83,False
2019-02-10,54,False
2019-02-17,72,False
2019-02-24,36,False
2019-03-03,89,False
2019-03-10,26,False
2019-03-17,65,False
2019-03-24,55,False
2019-03-31,55,False
2019-04-07,30,False
2019-04-14,53,False
2019-04-21,32,False
2019-04-28,36,False
2019-05-05,44,False
2019-05-12,36,False
2019-05-19,18,False
2019-05-26,49,False
2019-06-02,36,False
2019-06-09,74,False
2019-06-16,50,False
2019-06-23,28,False
2019-06-30,43,False
2019-07-07,30,False
2019-07-14,57,False
2019-07-21,46,False
2019-07-28,67,False
2019-08-04,58,False
2019-08-11,68,False
2019-08-18,38,False
2019-08-25,43,False
2019-09-01,72,False
2019-09-08,73,False
2019-09-15,64,False
2019-09-22,47,False
2019-09-29,59,False
2019-10-06,26,False
2019-10-13,35,False
2019-10-20,23,False
2019-10-27,68,False
2019-11-03,74,False
2019-11-10,62,False
2019-11-17,25,False
2019-11-24,33,False
2019-12-01,51,False
2019-12-08,62,False
2019-12-15,35,False
2019-12-22,30,False
2019-12-29,49,False
2020-01-05,49,False
2020-01-12,47,False
2020-01-19,32,False
2020-01-26,59,False
2020-02-02,37,False
2020-02-09,57,False
2020-02-16,81,False
2020-02-23,47,False
2020-03-01,55,False
2020-03-08,29,False
2020-03-15,53,False
2020-03-22,63,False
2020-03-29,82,False
2020-04-05,52,False
2020-04-12,25,False
2020-04-19,29,False
2020-04-26,62,False
2020-05-03,73,False
2020-05-10,64,False
2020-05-17,93,True
