date,abiti cerimonia,isPartial
2018-01-07,40,False
2018-01-14,65,False
2018-01-21,73,False
2018-01-28,42,False
2018-02-04,36,False
2018-02-11,51,False
2018-02-18,47,False
2018-02-25,47,False
2018-03-04,41,False
2018-03-11,75,False
2018-03-18,83,False
2018-03-25,63,False
2018-04-01,79,False
2018-04-08,76,False
2018-04-15,77,False
2018-04-22,54,False
2018-04-29,68,False
2018-05-06,58,False
2018-05-13,41,False
2018-05-20,42,False
2018-05-27,32,False
2018-06-03,76,False
2018-06-10,52,False
2018-06-17,50,False
2018-06-24,49,False
2018-07-01,44,False
2018-07-08,67,False
2018-07-15,59,False
2018-07-22,46,False
2018-07-29,36,False
2018-08-05,35,False
2018-08-12,19,False
2018-08-19,22,False
2018-08-26,25,False
2018-09-02,39,False
2018-09-09,32,False
2018-09-16,22,False
2018-09-23,17,False
2018-09-30,20,False
2018-10-07,25,False
2018-10-14,11,False
2018-10-21,14,False
2018-10-28,29,False
2018-11-04,22,False
2018-11-11,28,False
2018-11-18,16,False
2018-11-25,26,False
2018-12-02,7,False
2018-12-09,16,False
2018-12-16,9,False
2018-12-23,34,False
2018-12-30,9,False
2019-01-06,45,False
2019-01-13,54,False
2019-01-20,58,False
2019-01-27,68,False
2019-02-03,65,False
2019-02-10,61,False
2019-02-17,57,False
2019-02-24,43,False
2019-03-03,71,False
2019-03-10,78,False
2019-03-17,100,False
2019-03-24,71,False
2019-03-31,72,False
2019-04-07,73,False
2019-04-14,45,False
2019-04-21,56,False
2019-04-28,46,False
2019-05-05,77,False
2019-05-12,49,False
2019-05-19,58,False
2019-05-26,30,False
2019-06-02,39,False
2019-06-09,36,False
2019-06-16,61,False
2019-06-23,25,False
2019-06-30,35,False
2019-07-07,44,False
2019-07-14,43,False
2019-07-21,45,False
2019-07-28,35,False
2019-08-04,18,False
2019-08-11,22,False
2019-08-18,31,False
2019-08-25,19,False
2019-09-01,26,False
2019-09-08,32,False
2019-09-15,20,False
2019-09-22,26,False
2019-09-29,19,False
2019-10-06,29,False
2019-10-13,32,False
2019-10-20,21,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,17,False
2019-11-17,15,False
2019-11-24,19,False
2019-12-01,10,False
2019-12-08,10,False
2019-12-15,6,False
2019-12-22,20,False
2019-12-29,24,False
2020-01-05,34,False
2020-01-12,39,False
2020-01-19,48,False
2020-01-26,45,False
2020-02-02,44,False
2020-02-09,46,False
2020-02-16,38,False
2020-02-23,43,False
2020-03-01,58,False
2020-03-08,8,False
2020-03-15,6,False
2020-03-22,7,False
2020-03-29,12,False
2020-04-05,6,False
2020-04-12,5,False
2020-04-19,3,False
2020-04-26,8,True
