date,acconciature,isPartial
2018-01-07,28,False
2018-01-14,61,False
2018-01-21,44,False
2018-01-28,43,False
2018-02-04,64,False
2018-02-11,59,False
2018-02-18,38,False
2018-02-25,70,False
2018-03-04,65,False
2018-03-11,40,False
2018-03-18,35,False
2018-03-25,58,False
2018-04-01,71,False
2018-04-08,65,False
2018-04-15,65,False
2018-04-22,45,False
2018-04-29,71,False
2018-05-06,65,False
2018-05-13,64,False
2018-05-20,79,False
2018-05-27,65,False
2018-06-03,67,False
2018-06-10,75,False
2018-06-17,64,False
2018-06-24,60,False
2018-07-01,48,False
2018-07-08,61,False
2018-07-15,49,False
2018-07-22,50,False
2018-07-29,60,False
2018-08-05,26,False
2018-08-12,56,False
2018-08-19,53,False
2018-08-26,76,False
2018-09-02,100,False
2018-09-09,76,False
2018-09-16,65,False
2018-09-23,42,False
2018-09-30,49,False
2018-10-07,41,False
2018-10-14,44,False
2018-10-21,35,False
2018-10-28,33,False
2018-11-04,31,False
2018-11-11,38,False
2018-11-18,34,False
2018-11-25,22,False
2018-12-02,31,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,39,False
2018-12-30,56,False
2019-01-06,36,False
2019-01-13,50,False
2019-01-20,41,False
2019-01-27,47,False
2019-02-03,37,False
2019-02-10,44,False
2019-02-17,26,False
2019-02-24,35,False
2019-03-03,45,False
2019-03-10,66,False
2019-03-17,53,False
2019-03-24,54,False
2019-03-31,54,False
2019-04-07,59,False
2019-04-14,36,False
2019-04-21,35,False
2019-04-28,51,False
2019-05-05,67,False
2019-05-12,62,False
2019-05-19,40,False
2019-05-26,57,False
2019-06-02,64,False
2019-06-09,59,False
2019-06-16,56,False
2019-06-23,48,False
2019-06-30,43,False
2019-07-07,58,False
2019-07-14,65,False
2019-07-21,42,False
2019-07-28,42,False
2019-08-04,46,False
2019-08-11,50,False
2019-08-18,45,False
2019-08-25,69,False
2019-09-01,62,False
2019-09-08,49,False
2019-09-15,77,False
2019-09-22,41,False
2019-09-29,32,False
2019-10-06,32,False
2019-10-13,45,False
2019-10-20,24,False
2019-10-27,40,False
2019-11-03,26,False
2019-11-10,43,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,23,False
2019-12-08,36,False
2019-12-15,34,False
2019-12-22,39,False
2019-12-29,54,False
2020-01-05,33,False
2020-01-12,18,False
2020-01-19,42,False
2020-01-26,33,False
2020-02-02,37,False
2020-02-09,36,False
2020-02-16,46,False
2020-02-23,24,False
2020-03-01,35,False
2020-03-08,25,False
2020-03-15,13,False
2020-03-22,19,False
2020-03-29,20,False
2020-04-05,29,False
2020-04-12,11,False
2020-04-19,15,False
2020-04-26,19,True
