date,addio celibato,isPartial
2018-01-07,25,False
2018-01-14,19,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,48,False
2018-02-11,12,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,22,False
2018-03-11,33,False
2018-03-18,17,False
2018-03-25,42,False
2018-04-01,68,False
2018-04-08,22,False
2018-04-15,52,False
2018-04-22,30,False
2018-04-29,29,False
2018-05-06,77,False
2018-05-13,60,False
2018-05-20,50,False
2018-05-27,40,False
2018-06-03,100,False
2018-06-10,49,False
2018-06-17,71,False
2018-06-24,35,False
2018-07-01,46,False
2018-07-08,70,False
2018-07-15,53,False
2018-07-22,24,False
2018-07-29,36,False
2018-08-05,19,False
2018-08-12,60,False
2018-08-19,16,False
2018-08-26,40,False
2018-09-02,40,False
2018-09-09,22,False
2018-09-16,43,False
2018-09-23,44,False
2018-09-30,44,False
2018-10-07,34,False
2018-10-14,22,False
2018-10-21,11,False
2018-10-28,0,False
2018-11-04,16,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,11,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,12,False
2019-01-20,12,False
2019-01-27,0,False
2019-02-03,24,False
2019-02-10,12,False
2019-02-17,24,False
2019-02-24,22,False
2019-03-03,51,False
2019-03-10,13,False
2019-03-17,19,False
2019-03-24,25,False
2019-03-31,43,False
2019-04-07,29,False
2019-04-14,36,False
2019-04-21,14,False
2019-04-28,42,False
2019-05-05,38,False
2019-05-12,29,False
2019-05-19,66,False
2019-05-26,69,False
2019-06-02,42,False
2019-06-09,42,False
2019-06-16,63,False
2019-06-23,32,False
2019-06-30,46,False
2019-07-07,42,False
2019-07-14,39,False
2019-07-21,13,False
2019-07-28,28,False
2019-08-04,15,False
2019-08-11,32,False
2019-08-18,30,False
2019-08-25,53,False
2019-09-01,29,False
2019-09-08,12,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,12,False
2019-10-06,0,False
2019-10-13,30,False
2019-10-20,35,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,11,False
2019-11-17,23,False
2019-11-24,17,False
2019-12-01,24,False
2019-12-08,18,False
2019-12-15,0,False
2019-12-22,15,False
2019-12-29,28,False
2020-01-05,0,False
2020-01-12,11,False
2020-01-19,11,False
2020-01-26,11,False
2020-02-02,11,False
2020-02-09,17,False
2020-02-16,28,False
2020-02-23,16,False
2020-03-01,11,False
2020-03-08,11,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,11,False
2020-04-12,11,False
2020-04-19,35,False
2020-04-26,18,True
