date,addobbi chiesa matrimonio,isPartial
2018-01-07,73,False
2018-01-14,92,False
2018-01-21,41,False
2018-01-28,51,False
2018-02-04,50,False
2018-02-11,92,False
2018-02-18,50,False
2018-02-25,68,False
2018-03-04,39,False
2018-03-11,100,False
2018-03-18,80,False
2018-03-25,21,False
2018-04-01,33,False
2018-04-08,61,False
2018-04-15,62,False
2018-04-22,43,False
2018-04-29,62,False
2018-05-06,41,False
2018-05-13,41,False
2018-05-20,41,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,59,False
2018-06-17,20,False
2018-06-24,41,False
2018-07-01,30,False
2018-07-08,51,False
2018-07-15,52,False
2018-07-22,52,False
2018-07-29,42,False
2018-08-05,66,False
2018-08-12,46,False
2018-08-19,45,False
2018-08-26,52,False
2018-09-02,40,False
2018-09-09,40,False
2018-09-16,89,False
2018-09-23,40,False
2018-09-30,50,False
2018-10-07,62,False
2018-10-14,0,False
2018-10-21,61,False
2018-10-28,50,False
2018-11-04,39,False
2018-11-11,31,False
2018-11-18,40,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,56,False
2019-01-06,51,False
2019-01-13,60,False
2019-01-20,29,False
2019-01-27,66,False
2019-02-03,87,False
2019-02-10,20,False
2019-02-17,50,False
2019-02-24,59,False
2019-03-03,21,False
2019-03-10,80,False
2019-03-17,20,False
2019-03-24,51,False
2019-03-31,0,False
2019-04-07,70,False
2019-04-14,21,False
2019-04-21,33,False
2019-04-28,71,False
2019-05-05,39,False
2019-05-12,49,False
2019-05-19,68,False
2019-05-26,66,False
2019-06-02,20,False
2019-06-09,40,False
2019-06-16,20,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,31,False
2019-08-04,43,False
2019-08-11,23,False
2019-08-18,43,False
2019-08-25,40,False
2019-09-01,55,False
2019-09-08,19,False
2019-09-15,19,False
2019-09-22,19,False
2019-09-29,47,False
2019-10-06,48,False
2019-10-13,19,False
2019-10-20,37,False
2019-10-27,37,False
2019-11-03,18,False
2019-11-10,37,False
2019-11-17,18,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,42,False
2020-01-05,28,False
2020-01-12,26,False
2020-01-19,89,False
2020-01-26,35,False
2020-02-02,43,False
2020-02-09,18,False
2020-02-16,35,False
2020-02-23,25,False
2020-03-01,33,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,32,False
2020-04-19,15,False
2020-04-26,27,True
