date,allestimento matrimonio,isPartial
2018-01-07,28,False
2018-01-14,55,False
2018-01-21,41,False
2018-01-28,34,False
2018-02-04,20,False
2018-02-11,82,False
2018-02-18,66,False
2018-02-25,78,False
2018-03-04,26,False
2018-03-11,47,False
2018-03-18,40,False
2018-03-25,50,False
2018-04-01,44,False
2018-04-08,54,False
2018-04-15,35,False
2018-04-22,29,False
2018-04-29,34,False
2018-05-06,61,False
2018-05-13,54,False
2018-05-20,75,False
2018-05-27,41,False
2018-06-03,76,False
2018-06-10,26,False
2018-06-17,82,False
2018-06-24,55,False
2018-07-01,67,False
2018-07-08,54,False
2018-07-15,55,False
2018-07-22,34,False
2018-07-29,42,False
2018-08-05,36,False
2018-08-12,31,False
2018-08-19,38,False
2018-08-26,70,False
2018-09-02,47,False
2018-09-09,47,False
2018-09-16,59,False
2018-09-23,60,False
2018-09-30,100,False
2018-10-07,20,False
2018-10-14,48,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,13,False
2018-11-11,41,False
2018-11-18,13,False
2018-11-25,13,False
2018-12-02,34,False
2018-12-09,28,False
2018-12-16,14,False
2018-12-23,0,False
2018-12-30,15,False
2019-01-06,20,False
2019-01-13,73,False
2019-01-20,45,False
2019-01-27,38,False
2019-02-03,51,False
2019-02-10,39,False
2019-02-17,40,False
2019-02-24,72,False
2019-03-03,14,False
2019-03-10,73,False
2019-03-17,41,False
2019-03-24,27,False
2019-03-31,68,False
2019-04-07,40,False
2019-04-14,14,False
2019-04-21,43,False
2019-04-28,81,False
2019-05-05,32,False
2019-05-12,77,False
2019-05-19,45,False
2019-05-26,56,False
2019-06-02,53,False
2019-06-09,40,False
2019-06-16,27,False
2019-06-23,48,False
2019-06-30,83,False
2019-07-07,40,False
2019-07-14,48,False
2019-07-21,48,False
2019-07-28,42,False
2019-08-04,36,False
2019-08-11,23,False
2019-08-18,57,False
2019-08-25,52,False
2019-09-01,49,False
2019-09-08,26,False
2019-09-15,44,False
2019-09-22,56,False
2019-09-29,50,False
2019-10-06,45,False
2019-10-13,25,False
2019-10-20,37,False
2019-10-27,19,False
2019-11-03,42,False
2019-11-10,24,False
2019-11-17,36,False
2019-11-24,36,False
2019-12-01,13,False
2019-12-08,25,False
2019-12-15,0,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,12,False
2020-01-12,75,False
2020-01-19,41,False
2020-01-26,23,False
2020-02-02,46,False
2020-02-09,59,False
2020-02-16,70,False
2020-02-23,11,False
2020-03-01,49,False
2020-03-08,0,False
2020-03-15,11,False
2020-03-22,20,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,20,False
2020-04-26,18,True
