date,aperitivo,isPartial
2018-01-07,29,False
2018-01-14,30,False
2018-01-21,42,False
2018-01-28,41,False
2018-02-04,28,False
2018-02-11,18,False
2018-02-18,39,False
2018-02-25,39,False
2018-03-04,53,False
2018-03-11,28,False
2018-03-18,42,False
2018-03-25,48,False
2018-04-01,60,False
2018-04-08,49,False
2018-04-15,55,False
2018-04-22,67,False
2018-04-29,55,False
2018-05-06,40,False
2018-05-13,55,False
2018-05-20,58,False
2018-05-27,44,False
2018-06-03,68,False
2018-06-10,60,False
2018-06-17,76,False
2018-06-24,73,False
2018-07-01,65,False
2018-07-08,79,False
2018-07-15,67,False
2018-07-22,67,False
2018-07-29,56,False
2018-08-05,92,False
2018-08-12,72,False
2018-08-19,58,False
2018-08-26,56,False
2018-09-02,53,False
2018-09-09,37,False
2018-09-16,52,False
2018-09-23,55,False
2018-09-30,32,False
2018-10-07,48,False
2018-10-14,46,False
2018-10-21,42,False
2018-10-28,40,False
2018-11-04,50,False
2018-11-11,49,False
2018-11-18,30,False
2018-11-25,38,False
2018-12-02,37,False
2018-12-09,45,False
2018-12-16,39,False
2018-12-23,52,False
2018-12-30,43,False
2019-01-06,30,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,30,False
2019-02-03,34,False
2019-02-10,53,False
2019-02-17,32,False
2019-02-24,36,False
2019-03-03,49,False
2019-03-10,32,False
2019-03-17,47,False
2019-03-24,62,False
2019-03-31,54,False
2019-04-07,50,False
2019-04-14,49,False
2019-04-21,59,False
2019-04-28,50,False
2019-05-05,47,False
2019-05-12,46,False
2019-05-19,47,False
2019-05-26,49,False
2019-06-02,57,False
2019-06-09,73,False
2019-06-16,64,False
2019-06-23,100,False
2019-06-30,75,False
2019-07-07,68,False
2019-07-14,93,False
2019-07-21,81,False
2019-07-28,59,False
2019-08-04,82,False
2019-08-11,97,False
2019-08-18,74,False
2019-08-25,54,False
2019-09-01,60,False
2019-09-08,68,False
2019-09-15,66,False
2019-09-22,46,False
2019-09-29,37,False
2019-10-06,45,False
2019-10-13,50,False
2019-10-20,33,False
2019-10-27,35,False
2019-11-03,42,False
2019-11-10,48,False
2019-11-17,41,False
2019-11-24,36,False
2019-12-01,34,False
2019-12-08,37,False
2019-12-15,43,False
2019-12-22,64,False
2019-12-29,69,False
2020-01-05,31,False
2020-01-12,33,False
2020-01-19,47,False
2020-01-26,22,False
2020-02-02,37,False
2020-02-09,38,False
2020-02-16,29,False
2020-02-23,23,False
2020-03-01,36,False
2020-03-08,22,False
2020-03-15,10,False
2020-03-22,11,False
2020-03-29,12,False
2020-04-05,18,False
2020-04-12,25,False
2020-04-19,14,False
2020-04-26,13,True
