date,apprendre a dessiner,isPartial
2018-01-07,27,False
2018-01-14,0,False
2018-01-21,27,False
2018-01-28,37,False
2018-02-04,40,False
2018-02-11,27,False
2018-02-18,0,False
2018-02-25,26,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,27,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,27,False
2018-05-20,27,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,52,False
2018-06-17,55,False
2018-06-24,27,False
2018-07-01,52,False
2018-07-08,26,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,47,False
2018-08-12,36,False
2018-08-19,38,False
2018-08-26,26,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,82,False
2018-10-21,29,False
2018-10-28,27,False
2018-11-04,54,False
2018-11-11,41,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,29,False
2018-12-16,29,False
2018-12-23,66,False
2018-12-30,30,False
2019-01-06,28,False
2019-01-13,56,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,28,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,58,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,0,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,28,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,26,False
2019-06-02,26,False
2019-06-09,51,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,37,False
2019-07-21,23,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,0,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,49,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,24,False
2019-10-27,49,False
2019-11-03,24,False
2019-11-10,74,False
2019-11-17,36,False
2019-11-24,24,False
2019-12-01,36,False
2019-12-08,24,False
2019-12-15,25,False
2019-12-22,41,False
2019-12-29,0,False
2020-01-05,24,False
2020-01-12,23,False
2020-01-19,46,False
2020-01-26,71,False
2020-02-02,36,False
2020-02-09,25,False
2020-02-16,24,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,20,False
2020-03-22,57,False
2020-03-29,45,False
2020-04-05,100,False
2020-04-12,69,False
2020-04-19,31,False
2020-04-26,25,False
2020-05-03,19,False
2020-05-10,29,False
2020-05-17,0,True
