date,apprendre le dessin,isPartial
2018-01-07,32,False
2018-01-14,28,False
2018-01-21,50,False
2018-01-28,43,False
2018-02-04,43,False
2018-02-11,22,False
2018-02-18,56,False
2018-02-25,22,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,22,False
2018-03-25,33,False
2018-04-01,22,False
2018-04-08,22,False
2018-04-15,24,False
2018-04-22,34,False
2018-04-29,22,False
2018-05-06,31,False
2018-05-13,87,False
2018-05-20,23,False
2018-05-27,21,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,22,False
2018-06-24,44,False
2018-07-01,21,False
2018-07-08,30,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,48,False
2018-08-05,24,False
2018-08-12,25,False
2018-08-19,48,False
2018-08-26,57,False
2018-09-02,30,False
2018-09-09,100,False
2018-09-16,44,False
2018-09-23,45,False
2018-09-30,44,False
2018-10-07,22,False
2018-10-14,33,False
2018-10-21,22,False
2018-10-28,45,False
2018-11-04,32,False
2018-11-11,29,False
2018-11-18,57,False
2018-11-25,43,False
2018-12-02,44,False
2018-12-09,77,False
2018-12-16,45,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,21,False
2019-01-13,43,False
2019-01-20,83,False
2019-01-27,28,False
2019-02-03,35,False
2019-02-10,52,False
2019-02-17,30,False
2019-02-24,29,False
2019-03-03,21,False
2019-03-10,22,False
2019-03-17,56,False
2019-03-24,67,False
2019-03-31,22,False
2019-04-07,37,False
2019-04-14,37,False
2019-04-21,56,False
2019-04-28,22,False
2019-05-05,43,False
2019-05-12,43,False
2019-05-19,28,False
2019-05-26,22,False
2019-06-02,27,False
2019-06-09,21,False
2019-06-16,44,False
2019-06-23,43,False
2019-06-30,36,False
2019-07-07,22,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,54,False
2019-08-04,23,False
2019-08-11,35,False
2019-08-18,69,False
2019-08-25,29,False
2019-09-01,52,False
2019-09-08,28,False
2019-09-15,27,False
2019-09-22,53,False
2019-09-29,40,False
2019-10-06,40,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,50,False
2019-11-03,39,False
2019-11-10,79,False
2019-11-17,46,False
2019-11-24,51,False
2019-12-01,19,False
2019-12-08,45,False
2019-12-15,20,False
2019-12-22,36,False
2019-12-29,21,False
2020-01-05,32,False
2020-01-12,56,False
2020-01-19,29,False
2020-01-26,37,False
2020-02-02,25,False
2020-02-09,31,False
2020-02-16,38,False
2020-02-23,30,False
2020-03-01,30,False
2020-03-08,27,False
2020-03-15,69,False
2020-03-22,62,False
2020-03-29,39,False
2020-04-05,51,False
2020-04-12,57,False
2020-04-19,50,False
2020-04-26,48,False
2020-05-03,32,False
2020-05-10,45,False
2020-05-17,49,True
