date,bodas,isPartial
2018-01-07,42,False
2018-01-14,42,False
2018-01-21,67,False
2018-01-28,45,False
2018-02-04,47,False
2018-02-11,80,False
2018-02-18,84,False
2018-02-25,54,False
2018-03-04,68,False
2018-03-11,52,False
2018-03-18,51,False
2018-03-25,46,False
2018-04-01,68,False
2018-04-08,59,False
2018-04-15,47,False
2018-04-22,41,False
2018-04-29,43,False
2018-05-06,54,False
2018-05-13,55,False
2018-05-20,70,False
2018-05-27,43,False
2018-06-03,58,False
2018-06-10,47,False
2018-06-17,38,False
2018-06-24,60,False
2018-07-01,60,False
2018-07-08,62,False
2018-07-15,57,False
2018-07-22,45,False
2018-07-29,66,False
2018-08-05,55,False
2018-08-12,60,False
2018-08-19,75,False
2018-08-26,71,False
2018-09-02,90,False
2018-09-09,52,False
2018-09-16,77,False
2018-09-23,49,False
2018-09-30,47,False
2018-10-07,49,False
2018-10-14,35,False
2018-10-21,40,False
2018-10-28,49,False
2018-11-04,49,False
2018-11-11,48,False
2018-11-18,23,False
2018-11-25,38,False
2018-12-02,28,False
2018-12-09,27,False
2018-12-16,25,False
2018-12-23,22,False
2018-12-30,24,False
2019-01-06,39,False
2019-01-13,35,False
2019-01-20,48,False
2019-01-27,44,False
2019-02-03,47,False
2019-02-10,90,False
2019-02-17,80,False
2019-02-24,47,False
2019-03-03,47,False
2019-03-10,42,False
2019-03-17,60,False
2019-03-24,48,False
2019-03-31,35,False
2019-04-07,62,False
2019-04-14,43,False
2019-04-21,47,False
2019-04-28,38,False
2019-05-05,41,False
2019-05-12,63,False
2019-05-19,65,False
2019-05-26,79,False
2019-06-02,41,False
2019-06-09,61,False
2019-06-16,48,False
2019-06-23,52,False
2019-06-30,36,False
2019-07-07,35,False
2019-07-14,41,False
2019-07-21,40,False
2019-07-28,47,False
2019-08-04,34,False
2019-08-11,42,False
2019-08-18,50,False
2019-08-25,54,False
2019-09-01,53,False
2019-09-08,51,False
2019-09-15,42,False
2019-09-22,66,False
2019-09-29,80,False
2019-10-06,56,False
2019-10-13,51,False
2019-10-20,48,False
2019-10-27,34,False
2019-11-03,40,False
2019-11-10,34,False
2019-11-17,26,False
2019-11-24,32,False
2019-12-01,41,False
2019-12-08,36,False
2019-12-15,32,False
2019-12-22,29,False
2019-12-29,40,False
2020-01-05,47,False
2020-01-12,47,False
2020-01-19,39,False
2020-01-26,67,False
2020-02-02,53,False
2020-02-09,44,False
2020-02-16,100,False
2020-02-23,49,False
2020-03-01,32,False
2020-03-08,35,False
2020-03-15,30,False
2020-03-22,34,False
2020-03-29,25,False
2020-04-05,18,False
2020-04-12,41,True
