date,bodas,isPartial
2018-01-07,32,False
2018-01-14,60,False
2018-01-21,49,False
2018-01-28,40,False
2018-02-04,52,False
2018-02-11,63,False
2018-02-18,49,False
2018-02-25,65,False
2018-03-04,71,False
2018-03-11,51,False
2018-03-18,60,False
2018-03-25,32,False
2018-04-01,68,False
2018-04-08,61,False
2018-04-15,59,False
2018-04-22,64,False
2018-04-29,47,False
2018-05-06,65,False
2018-05-13,44,False
2018-05-20,76,False
2018-05-27,61,False
2018-06-03,48,False
2018-06-10,72,False
2018-06-17,54,False
2018-06-24,62,False
2018-07-01,54,False
2018-07-08,51,False
2018-07-15,42,False
2018-07-22,81,False
2018-07-29,60,False
2018-08-05,85,False
2018-08-12,55,False
2018-08-19,58,False
2018-08-26,91,False
2018-09-02,82,False
2018-09-09,100,False
2018-09-16,86,False
2018-09-23,88,False
2018-09-30,86,False
2018-10-07,85,False
2018-10-14,63,False
2018-10-21,56,False
2018-10-28,37,False
2018-11-04,43,False
2018-11-11,35,False
2018-11-18,41,False
2018-11-25,29,False
2018-12-02,47,False
2018-12-09,26,False
2018-12-16,19,False
2018-12-23,42,False
2018-12-30,33,False
2019-01-06,39,False
2019-01-13,35,False
2019-01-20,38,False
2019-01-27,57,False
2019-02-03,58,False
2019-02-10,45,False
2019-02-17,66,False
2019-02-24,41,False
2019-03-03,62,False
2019-03-10,55,False
2019-03-17,49,False
2019-03-24,46,False
2019-03-31,75,False
2019-04-07,50,False
2019-04-14,47,False
2019-04-21,42,False
2019-04-28,35,False
2019-05-05,46,False
2019-05-12,61,False
2019-05-19,47,False
2019-05-26,71,False
2019-06-02,46,False
2019-06-09,52,False
2019-06-16,45,False
2019-06-23,64,False
2019-06-30,57,False
2019-07-07,52,False
2019-07-14,19,False
2019-07-21,35,False
2019-07-28,44,False
2019-08-04,51,False
2019-08-11,45,False
2019-08-18,51,False
2019-08-25,68,False
2019-09-01,64,False
2019-09-08,55,False
2019-09-15,64,False
2019-09-22,82,False
2019-09-29,61,False
2019-10-06,64,False
2019-10-13,83,False
2019-10-20,62,False
2019-10-27,46,False
2019-11-03,56,False
2019-11-10,63,False
2019-11-17,44,False
2019-11-24,15,False
2019-12-01,33,False
2019-12-08,16,False
2019-12-15,37,False
2019-12-22,35,False
2019-12-29,39,False
2020-01-05,33,False
2020-01-12,47,False
2020-01-19,32,False
2020-01-26,47,False
2020-02-02,33,False
2020-02-09,34,False
2020-02-16,51,False
2020-02-23,49,False
2020-03-01,49,False
2020-03-08,38,False
2020-03-15,14,False
2020-03-22,18,False
2020-03-29,27,False
2020-04-05,27,False
2020-04-12,36,True
