date,bomboniere battesimo,isPartial
2018-01-07,52,False
2018-01-14,26,False
2018-01-21,39,False
2018-01-28,26,False
2018-02-04,25,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,24,False
2018-03-04,63,False
2018-03-11,49,False
2018-03-18,39,False
2018-03-25,52,False
2018-04-01,0,False
2018-04-08,100,False
2018-04-15,27,False
2018-04-22,26,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,50,False
2018-05-20,0,False
2018-05-27,50,False
2018-06-03,50,False
2018-06-10,24,False
2018-06-17,0,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,47,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,24,False
2018-08-05,0,False
2018-08-12,45,False
2018-08-19,24,False
2018-08-26,0,False
2018-09-02,50,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,51,False
2019-01-20,71,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,25,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,49,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,55,False
2019-04-28,47,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,22,False
2019-06-02,24,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,46,False
2019-07-07,44,False
2019-07-14,22,False
2019-07-21,45,False
2019-07-28,22,False
2019-08-04,0,False
2019-08-11,22,False
2019-08-18,0,False
2019-08-25,21,False
2019-09-01,32,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,21,False
2019-10-27,0,False
2019-11-03,43,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,25,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,68,False
2020-01-26,77,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,0,False
2020-02-23,20,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
