date,book,isPartial
2018-01-07,37,False
2018-01-14,36,False
2018-01-21,36,False
2018-01-28,39,False
2018-02-04,31,False
2018-02-11,37,False
2018-02-18,34,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,36,False
2018-03-18,35,False
2018-03-25,37,False
2018-04-01,30,False
2018-04-08,32,False
2018-04-15,30,False
2018-04-22,29,False
2018-04-29,28,False
2018-05-06,33,False
2018-05-13,34,False
2018-05-20,32,False
2018-05-27,33,False
2018-06-03,31,False
2018-06-10,32,False
2018-06-17,33,False
2018-06-24,33,False
2018-07-01,33,False
2018-07-08,34,False
2018-07-15,33,False
2018-07-22,30,False
2018-07-29,32,False
2018-08-05,31,False
2018-08-12,31,False
2018-08-19,34,False
2018-08-26,35,False
2018-09-02,37,False
2018-09-09,37,False
2018-09-16,37,False
2018-09-23,34,False
2018-09-30,34,False
2018-10-07,37,False
2018-10-14,30,False
2018-10-21,34,False
2018-10-28,31,False
2018-11-04,34,False
2018-11-11,39,False
2018-11-18,36,False
2018-11-25,39,False
2018-12-02,37,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,32,False
2018-12-30,36,False
2019-01-06,42,False
2019-01-13,40,False
2019-01-20,38,False
2019-01-27,60,False
2019-02-03,76,False
2019-02-10,68,False
2019-02-17,58,False
2019-02-24,100,False
2019-03-03,69,False
2019-03-10,62,False
2019-03-17,45,False
2019-03-24,44,False
2019-03-31,50,False
2019-04-07,46,False
2019-04-14,39,False
2019-04-21,40,False
2019-04-28,39,False
2019-05-05,35,False
2019-05-12,38,False
2019-05-19,41,False
2019-05-26,35,False
2019-06-02,39,False
2019-06-09,37,False
2019-06-16,36,False
2019-06-23,32,False
2019-06-30,38,False
2019-07-07,38,False
2019-07-14,37,False
2019-07-21,36,False
2019-07-28,33,False
2019-08-04,30,False
2019-08-11,36,False
2019-08-18,35,False
2019-08-25,37,False
2019-09-01,46,False
2019-09-08,40,False
2019-09-15,38,False
2019-09-22,40,False
2019-09-29,38,False
2019-10-06,39,False
2019-10-13,37,False
2019-10-20,39,False
2019-10-27,36,False
2019-11-03,36,False
2019-11-10,39,False
2019-11-17,37,False
2019-11-24,37,False
2019-12-01,33,False
2019-12-08,37,False
2019-12-15,33,False
2019-12-22,36,False
2019-12-29,38,False
2020-01-05,34,False
2020-01-12,36,False
2020-01-19,33,False
2020-01-26,28,False
2020-02-02,36,False
2020-02-09,33,False
2020-02-16,32,False
2020-02-23,30,False
2020-03-01,31,False
2020-03-08,34,False
2020-03-15,36,False
2020-03-22,38,False
2020-03-29,41,False
2020-04-05,40,False
2020-04-12,44,False
2020-04-19,45,False
2020-04-26,40,True
