date,bouquet mariée,isPartial
2018-01-07,54,False
2018-01-14,27,False
2018-01-21,54,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,80,False
2018-02-18,54,False
2018-02-25,40,False
2018-03-04,55,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,52,False
2018-04-15,29,False
2018-04-22,86,False
2018-04-29,55,False
2018-05-06,27,False
2018-05-13,41,False
2018-05-20,56,False
2018-05-27,82,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,55,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,27,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,67,False
2018-08-19,27,False
2018-08-26,55,False
2018-09-02,55,False
2018-09-09,28,False
2018-09-16,56,False
2018-09-23,28,False
2018-09-30,86,False
2018-10-07,42,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,27,False
2018-11-11,57,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,34,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,28,False
2019-01-20,41,False
2019-01-27,27,False
2019-02-03,42,False
2019-02-10,0,False
2019-02-17,30,False
2019-02-24,0,False
2019-03-03,28,False
2019-03-10,57,False
2019-03-17,29,False
2019-03-24,43,False
2019-03-31,0,False
2019-04-07,57,False
2019-04-14,100,False
2019-04-21,27,False
2019-04-28,28,False
2019-05-05,41,False
2019-05-12,54,False
2019-05-19,0,False
2019-05-26,40,False
2019-06-02,50,False
2019-06-09,50,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,0,False
2019-07-21,40,False
2019-07-28,54,False
2019-08-04,0,False
2019-08-11,24,False
2019-08-18,44,False
2019-08-25,24,False
2019-09-01,50,False
2019-09-08,38,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,38,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,48,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,36,False
2020-01-12,23,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,24,False
2020-02-09,47,False
2020-02-16,0,False
2020-02-23,45,False
2020-03-01,33,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,49,True
