date,club,isPartial
2018-01-07,46,False
2018-01-14,46,False
2018-01-21,62,False
2018-01-28,62,False
2018-02-04,60,False
2018-02-11,73,False
2018-02-18,53,False
2018-02-25,65,False
2018-03-04,49,False
2018-03-11,54,False
2018-03-18,42,False
2018-03-25,49,False
2018-04-01,68,False
2018-04-08,54,False
2018-04-15,60,False
2018-04-22,55,False
2018-04-29,58,False
2018-05-06,57,False
2018-05-13,52,False
2018-05-20,43,False
2018-05-27,53,False
2018-06-03,42,False
2018-06-10,61,False
2018-06-17,51,False
2018-06-24,69,False
2018-07-01,76,False
2018-07-08,69,False
2018-07-15,76,False
2018-07-22,82,False
2018-07-29,100,False
2018-08-05,99,False
2018-08-12,95,False
2018-08-19,67,False
2018-08-26,75,False
2018-09-02,64,False
2018-09-09,53,False
2018-09-16,55,False
2018-09-23,55,False
2018-09-30,54,False
2018-10-07,42,False
2018-10-14,52,False
2018-10-21,61,False
2018-10-28,54,False
2018-11-04,55,False
2018-11-11,50,False
2018-11-18,45,False
2018-11-25,47,False
2018-12-02,53,False
2018-12-09,53,False
2018-12-16,45,False
2018-12-23,63,False
2018-12-30,48,False
2019-01-06,43,False
2019-01-13,50,False
2019-01-20,47,False
2019-01-27,54,False
2019-02-03,45,False
2019-02-10,48,False
2019-02-17,47,False
2019-02-24,46,False
2019-03-03,40,False
2019-03-10,45,False
2019-03-17,48,False
2019-03-24,50,False
2019-03-31,72,False
2019-04-07,50,False
2019-04-14,54,False
2019-04-21,53,False
2019-04-28,57,False
2019-05-05,46,False
2019-05-12,44,False
2019-05-19,53,False
2019-05-26,58,False
2019-06-02,61,False
2019-06-09,67,False
2019-06-16,73,False
2019-06-23,71,False
2019-06-30,72,False
2019-07-07,68,False
2019-07-14,75,False
2019-07-21,92,False
2019-07-28,76,False
2019-08-04,74,False
2019-08-11,82,False
2019-08-18,80,False
2019-08-25,64,False
2019-09-01,45,False
2019-09-08,61,False
2019-09-15,42,False
2019-09-22,41,False
2019-09-29,43,False
2019-10-06,41,False
2019-10-13,37,False
2019-10-20,42,False
2019-10-27,37,False
2019-11-03,28,False
2019-11-10,40,False
2019-11-17,34,False
2019-11-24,29,False
2019-12-01,40,False
2019-12-08,54,False
2019-12-15,46,False
2019-12-22,38,False
2019-12-29,35,False
2020-01-05,40,False
2020-01-12,36,False
2020-01-19,38,False
2020-01-26,41,False
2020-02-02,29,False
2020-02-09,45,False
2020-02-16,43,False
2020-02-23,34,False
2020-03-01,34,False
2020-03-08,25,False
2020-03-15,20,False
2020-03-22,18,False
2020-03-29,26,False
2020-04-05,27,False
2020-04-12,32,False
2020-04-19,26,False
2020-04-26,28,True
