date,console,isPartial
2018-01-07,60,False
2018-01-14,74,False
2018-01-21,55,False
2018-01-28,40,False
2018-02-04,74,False
2018-02-11,59,False
2018-02-18,46,False
2018-02-25,61,False
2018-03-04,47,False
2018-03-11,63,False
2018-03-18,60,False
2018-03-25,45,False
2018-04-01,51,False
2018-04-08,37,False
2018-04-15,53,False
2018-04-22,47,False
2018-04-29,57,False
2018-05-06,45,False
2018-05-13,71,False
2018-05-20,45,False
2018-05-27,77,False
2018-06-03,65,False
2018-06-10,66,False
2018-06-17,61,False
2018-06-24,85,False
2018-07-01,40,False
2018-07-08,65,False
2018-07-15,58,False
2018-07-22,53,False
2018-07-29,64,False
2018-08-05,52,False
2018-08-12,75,False
2018-08-19,31,False
2018-08-26,71,False
2018-09-02,58,False
2018-09-09,72,False
2018-09-16,54,False
2018-09-23,98,False
2018-09-30,47,False
2018-10-07,42,False
2018-10-14,57,False
2018-10-21,30,False
2018-10-28,82,False
2018-11-04,59,False
2018-11-11,77,False
2018-11-18,100,False
2018-11-25,77,False
2018-12-02,91,False
2018-12-09,73,False
2018-12-16,46,False
2018-12-23,49,False
2018-12-30,70,False
2019-01-06,57,False
2019-01-13,36,False
2019-01-20,47,False
2019-01-27,47,False
2019-02-03,62,False
2019-02-10,56,False
2019-02-17,75,False
2019-02-24,64,False
2019-03-03,61,False
2019-03-10,58,False
2019-03-17,67,False
2019-03-24,52,False
2019-03-31,55,False
2019-04-07,47,False
2019-04-14,75,False
2019-04-21,32,False
2019-04-28,43,False
2019-05-05,64,False
2019-05-12,36,False
2019-05-19,50,False
2019-05-26,63,False
2019-06-02,76,False
2019-06-09,57,False
2019-06-16,53,False
2019-06-23,34,False
2019-06-30,45,False
2019-07-07,55,False
2019-07-14,43,False
2019-07-21,41,False
2019-07-28,36,False
2019-08-04,36,False
2019-08-11,27,False
2019-08-18,49,False
2019-08-25,42,False
2019-09-01,44,False
2019-09-08,22,False
2019-09-15,71,False
2019-09-22,41,False
2019-09-29,48,False
2019-10-06,33,False
2019-10-13,46,False
2019-10-20,39,False
2019-10-27,45,False
2019-11-03,59,False
2019-11-10,51,False
2019-11-17,38,False
2019-11-24,46,False
2019-12-01,75,False
2019-12-08,50,False
2019-12-15,39,False
2019-12-22,71,False
2019-12-29,66,False
2020-01-05,50,False
2020-01-12,33,False
2020-01-19,58,False
2020-01-26,54,False
2020-02-02,26,False
2020-02-09,40,False
2020-02-16,36,False
2020-02-23,40,False
2020-03-01,37,False
2020-03-08,58,False
2020-03-15,61,False
2020-03-22,77,False
2020-03-29,80,False
2020-04-05,57,False
2020-04-12,63,False
2020-04-19,65,False
2020-04-26,70,True
