date,costurera,isPartial
2018-01-07,31,False
2018-01-14,31,False
2018-01-21,51,False
2018-01-28,21,False
2018-02-04,51,False
2018-02-11,52,False
2018-02-18,32,False
2018-02-25,21,False
2018-03-04,50,False
2018-03-11,40,False
2018-03-18,74,False
2018-03-25,41,False
2018-04-01,83,False
2018-04-08,40,False
2018-04-15,61,False
2018-04-22,51,False
2018-04-29,47,False
2018-05-06,71,False
2018-05-13,21,False
2018-05-20,61,False
2018-05-27,70,False
2018-06-03,100,False
2018-06-10,71,False
2018-06-17,54,False
2018-06-24,33,False
2018-07-01,45,False
2018-07-08,58,False
2018-07-15,49,False
2018-07-22,25,False
2018-07-29,79,False
2018-08-05,42,False
2018-08-12,60,False
2018-08-19,56,False
2018-08-26,37,False
2018-09-02,96,False
2018-09-09,63,False
2018-09-16,20,False
2018-09-23,40,False
2018-09-30,60,False
2018-10-07,53,False
2018-10-14,50,False
2018-10-21,20,False
2018-10-28,31,False
2018-11-04,81,False
2018-11-11,65,False
2018-11-18,75,False
2018-11-25,45,False
2018-12-02,20,False
2018-12-09,31,False
2018-12-16,51,False
2018-12-23,50,False
2018-12-30,32,False
2019-01-06,62,False
2019-01-13,19,False
2019-01-20,36,False
2019-01-27,52,False
2019-02-03,29,False
2019-02-10,67,False
2019-02-17,49,False
2019-02-24,52,False
2019-03-03,40,False
2019-03-10,40,False
2019-03-17,71,False
2019-03-24,30,False
2019-03-31,48,False
2019-04-07,95,False
2019-04-14,62,False
2019-04-21,30,False
2019-04-28,21,False
2019-05-05,35,False
2019-05-12,30,False
2019-05-19,48,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,55,False
2019-06-16,30,False
2019-06-23,41,False
2019-06-30,43,False
2019-07-07,60,False
2019-07-14,34,False
2019-07-21,44,False
2019-07-28,51,False
2019-08-04,27,False
2019-08-11,59,False
2019-08-18,41,False
2019-08-25,59,False
2019-09-01,38,False
2019-09-08,19,False
2019-09-15,72,False
2019-09-22,56,False
2019-09-29,64,False
2019-10-06,45,False
2019-10-13,44,False
2019-10-20,53,False
2019-10-27,46,False
2019-11-03,26,False
2019-11-10,60,False
2019-11-17,52,False
2019-11-24,59,False
2019-12-01,37,False
2019-12-08,28,False
2019-12-15,36,False
2019-12-22,64,False
2019-12-29,64,False
2020-01-05,36,False
2020-01-12,25,False
2020-01-19,42,False
2020-01-26,51,False
2020-02-02,50,False
2020-02-09,51,False
2020-02-16,43,False
2020-02-23,59,False
2020-03-01,57,False
2020-03-08,64,False
2020-03-15,17,False
2020-03-22,41,False
2020-03-29,49,False
2020-04-05,34,False
2020-04-12,56,True
