date,disco,isPartial
2018-01-07,38,False
2018-01-14,76,False
2018-01-21,49,False
2018-01-28,70,False
2018-02-04,27,False
2018-02-11,65,False
2018-02-18,58,False
2018-02-25,44,False
2018-03-04,64,False
2018-03-11,60,False
2018-03-18,67,False
2018-03-25,47,False
2018-04-01,41,False
2018-04-08,82,False
2018-04-15,71,False
2018-04-22,51,False
2018-04-29,32,False
2018-05-06,45,False
2018-05-13,59,False
2018-05-20,49,False
2018-05-27,64,False
2018-06-03,66,False
2018-06-10,63,False
2018-06-17,79,False
2018-06-24,87,False
2018-07-01,41,False
2018-07-08,51,False
2018-07-15,58,False
2018-07-22,47,False
2018-07-29,52,False
2018-08-05,75,False
2018-08-12,77,False
2018-08-19,64,False
2018-08-26,67,False
2018-09-02,69,False
2018-09-09,76,False
2018-09-16,37,False
2018-09-23,73,False
2018-09-30,91,False
2018-10-07,72,False
2018-10-14,53,False
2018-10-21,53,False
2018-10-28,49,False
2018-11-04,59,False
2018-11-11,54,False
2018-11-18,51,False
2018-11-25,48,False
2018-12-02,65,False
2018-12-09,100,False
2018-12-16,79,False
2018-12-23,89,False
2018-12-30,57,False
2019-01-06,35,False
2019-01-13,76,False
2019-01-20,46,False
2019-01-27,61,False
2019-02-03,53,False
2019-02-10,60,False
2019-02-17,57,False
2019-02-24,35,False
2019-03-03,55,False
2019-03-10,82,False
2019-03-17,65,False
2019-03-24,60,False
2019-03-31,76,False
2019-04-07,54,False
2019-04-14,53,False
2019-04-21,69,False
2019-04-28,50,False
2019-05-05,43,False
2019-05-12,60,False
2019-05-19,43,False
2019-05-26,69,False
2019-06-02,74,False
2019-06-09,97,False
2019-06-16,42,False
2019-06-23,76,False
2019-06-30,55,False
2019-07-07,56,False
2019-07-14,76,False
2019-07-21,42,False
2019-07-28,74,False
2019-08-04,57,False
2019-08-11,73,False
2019-08-18,36,False
2019-08-25,91,False
2019-09-01,57,False
2019-09-08,70,False
2019-09-15,39,False
2019-09-22,48,False
2019-09-29,65,False
2019-10-06,52,False
2019-10-13,60,False
2019-10-20,44,False
2019-10-27,47,False
2019-11-03,51,False
2019-11-10,52,False
2019-11-17,44,False
2019-11-24,46,False
2019-12-01,55,False
2019-12-08,60,False
2019-12-15,77,False
2019-12-22,66,False
2019-12-29,83,False
2020-01-05,43,False
2020-01-12,38,False
2020-01-19,74,False
2020-01-26,57,False
2020-02-02,61,False
2020-02-09,59,False
2020-02-16,43,False
2020-02-23,43,False
2020-03-01,63,False
2020-03-08,59,False
2020-03-15,41,False
2020-03-22,31,False
2020-03-29,53,False
2020-04-05,44,False
2020-04-12,55,False
2020-04-19,36,False
2020-04-26,44,True
