date,dolce,isPartial
2018-01-07,37,False
2018-01-14,34,False
2018-01-21,43,False
2018-01-28,41,False
2018-02-04,44,False
2018-02-11,45,False
2018-02-18,45,False
2018-02-25,40,False
2018-03-04,34,False
2018-03-11,41,False
2018-03-18,46,False
2018-03-25,52,False
2018-04-01,43,False
2018-04-08,35,False
2018-04-15,31,False
2018-04-22,34,False
2018-04-29,37,False
2018-05-06,38,False
2018-05-13,29,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,36,False
2018-06-10,31,False
2018-06-17,36,False
2018-06-24,33,False
2018-07-01,30,False
2018-07-08,31,False
2018-07-15,33,False
2018-07-22,31,False
2018-07-29,39,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,36,False
2018-08-26,36,False
2018-09-02,37,False
2018-09-09,36,False
2018-09-16,38,False
2018-09-23,42,False
2018-09-30,43,False
2018-10-07,44,False
2018-10-14,40,False
2018-10-21,42,False
2018-10-28,46,False
2018-11-04,42,False
2018-11-11,45,False
2018-11-18,67,False
2018-11-25,56,False
2018-12-02,51,False
2018-12-09,47,False
2018-12-16,49,False
2018-12-23,51,False
2018-12-30,48,False
2019-01-06,39,False
2019-01-13,40,False
2019-01-20,40,False
2019-01-27,38,False
2019-02-03,40,False
2019-02-10,41,False
2019-02-17,35,False
2019-02-24,39,False
2019-03-03,35,False
2019-03-10,41,False
2019-03-17,42,False
2019-03-24,38,False
2019-03-31,42,False
2019-04-07,51,False
2019-04-14,52,False
2019-04-21,37,False
2019-04-28,38,False
2019-05-05,41,False
2019-05-12,35,False
2019-05-19,31,False
2019-05-26,33,False
2019-06-02,31,False
2019-06-09,36,False
2019-06-16,33,False
2019-06-23,31,False
2019-06-30,32,False
2019-07-07,34,False
2019-07-14,33,False
2019-07-21,39,False
2019-07-28,33,False
2019-08-04,35,False
2019-08-11,36,False
2019-08-18,42,False
2019-08-25,38,False
2019-09-01,37,False
2019-09-08,41,False
2019-09-15,34,False
2019-09-22,43,False
2019-09-29,40,False
2019-10-06,39,False
2019-10-13,38,False
2019-10-20,43,False
2019-10-27,44,False
2019-11-03,45,False
2019-11-10,46,False
2019-11-17,43,False
2019-11-24,41,False
2019-12-01,45,False
2019-12-08,48,False
2019-12-15,50,False
2019-12-22,58,False
2019-12-29,45,False
2020-01-05,38,False
2020-01-12,41,False
2020-01-19,40,False
2020-01-26,48,False
2020-02-02,39,False
2020-02-09,41,False
2020-02-16,37,False
2020-02-23,32,False
2020-03-01,41,False
2020-03-08,40,False
2020-03-15,64,False
2020-03-22,66,False
2020-03-29,74,False
2020-04-05,100,False
2020-04-12,61,False
2020-04-19,63,False
2020-04-26,54,True
