date,fotografia,isPartial
2018-01-07,64,False
2018-01-14,66,False
2018-01-21,52,False
2018-01-28,68,False
2018-02-04,79,False
2018-02-11,100,False
2018-02-18,53,False
2018-02-25,63,False
2018-03-04,63,False
2018-03-11,77,False
2018-03-18,58,False
2018-03-25,52,False
2018-04-01,60,False
2018-04-08,77,False
2018-04-15,87,False
2018-04-22,69,False
2018-04-29,54,False
2018-05-06,67,False
2018-05-13,82,False
2018-05-20,52,False
2018-05-27,66,False
2018-06-03,62,False
2018-06-10,76,False
2018-06-17,46,False
2018-06-24,94,False
2018-07-01,71,False
2018-07-08,70,False
2018-07-15,53,False
2018-07-22,33,False
2018-07-29,68,False
2018-08-05,42,False
2018-08-12,49,False
2018-08-19,57,False
2018-08-26,43,False
2018-09-02,48,False
2018-09-09,59,False
2018-09-16,55,False
2018-09-23,71,False
2018-09-30,44,False
2018-10-07,66,False
2018-10-14,83,False
2018-10-21,65,False
2018-10-28,73,False
2018-11-04,59,False
2018-11-11,70,False
2018-11-18,52,False
2018-11-25,72,False
2018-12-02,58,False
2018-12-09,41,False
2018-12-16,49,False
2018-12-23,67,False
2018-12-30,66,False
2019-01-06,54,False
2019-01-13,56,False
2019-01-20,73,False
2019-01-27,58,False
2019-02-03,73,False
2019-02-10,59,False
2019-02-17,41,False
2019-02-24,52,False
2019-03-03,78,False
2019-03-10,67,False
2019-03-17,80,False
2019-03-24,45,False
2019-03-31,48,False
2019-04-07,56,False
2019-04-14,50,False
2019-04-21,48,False
2019-04-28,63,False
2019-05-05,60,False
2019-05-12,46,False
2019-05-19,58,False
2019-05-26,45,False
2019-06-02,53,False
2019-06-09,43,False
2019-06-16,44,False
2019-06-23,81,False
2019-06-30,48,False
2019-07-07,44,False
2019-07-14,65,False
2019-07-21,53,False
2019-07-28,44,False
2019-08-04,30,False
2019-08-11,59,False
2019-08-18,60,False
2019-08-25,65,False
2019-09-01,36,False
2019-09-08,58,False
2019-09-15,61,False
2019-09-22,49,False
2019-09-29,52,False
2019-10-06,35,False
2019-10-13,54,False
2019-10-20,52,False
2019-10-27,51,False
2019-11-03,43,False
2019-11-10,68,False
2019-11-17,61,False
2019-11-24,57,False
2019-12-01,58,False
2019-12-08,48,False
2019-12-15,62,False
2019-12-22,42,False
2019-12-29,53,False
2020-01-05,62,False
2020-01-12,62,False
2020-01-19,46,False
2020-01-26,51,False
2020-02-02,43,False
2020-02-09,45,False
2020-02-16,45,False
2020-02-23,44,False
2020-03-01,47,False
2020-03-08,37,False
2020-03-15,28,False
2020-03-22,36,False
2020-03-29,17,False
2020-04-05,53,False
2020-04-12,47,True
