date,fotografia,isPartial
2018-01-07,72,False
2018-01-14,46,False
2018-01-21,35,False
2018-01-28,52,False
2018-02-04,76,False
2018-02-11,80,False
2018-02-18,95,False
2018-02-25,70,False
2018-03-04,33,False
2018-03-11,75,False
2018-03-18,58,False
2018-03-25,95,False
2018-04-01,33,False
2018-04-08,67,False
2018-04-15,40,False
2018-04-22,37,False
2018-04-29,50,False
2018-05-06,56,False
2018-05-13,58,False
2018-05-20,48,False
2018-05-27,79,False
2018-06-03,39,False
2018-06-10,55,False
2018-06-17,40,False
2018-06-24,26,False
2018-07-01,50,False
2018-07-08,30,False
2018-07-15,74,False
2018-07-22,42,False
2018-07-29,41,False
2018-08-05,56,False
2018-08-12,45,False
2018-08-19,67,False
2018-08-26,31,False
2018-09-02,67,False
2018-09-09,30,False
2018-09-16,88,False
2018-09-23,32,False
2018-09-30,47,False
2018-10-07,54,False
2018-10-14,54,False
2018-10-21,44,False
2018-10-28,64,False
2018-11-04,74,False
2018-11-11,94,False
2018-11-18,100,False
2018-11-25,52,False
2018-12-02,47,False
2018-12-09,46,False
2018-12-16,56,False
2018-12-23,77,False
2018-12-30,95,False
2019-01-06,45,False
2019-01-13,70,False
2019-01-20,33,False
2019-01-27,50,False
2019-02-03,26,False
2019-02-10,77,False
2019-02-17,61,False
2019-02-24,62,False
2019-03-03,52,False
2019-03-10,34,False
2019-03-17,66,False
2019-03-24,33,False
2019-03-31,23,False
2019-04-07,46,False
2019-04-14,36,False
2019-04-21,29,False
2019-04-28,50,False
2019-05-05,63,False
2019-05-12,41,False
2019-05-19,65,False
2019-05-26,32,False
2019-06-02,87,False
2019-06-09,18,False
2019-06-16,63,False
2019-06-23,37,False
2019-06-30,25,False
2019-07-07,35,False
2019-07-14,59,False
2019-07-21,42,False
2019-07-28,53,False
2019-08-04,23,False
2019-08-11,33,False
2019-08-18,67,False
2019-08-25,44,False
2019-09-01,45,False
2019-09-08,75,False
2019-09-15,23,False
2019-09-22,41,False
2019-09-29,36,False
2019-10-06,54,False
2019-10-13,37,False
2019-10-20,61,False
2019-10-27,98,False
2019-11-03,42,False
2019-11-10,78,False
2019-11-17,29,False
2019-11-24,44,False
2019-12-01,54,False
2019-12-08,79,False
2019-12-15,39,False
2019-12-22,98,False
2019-12-29,69,False
2020-01-05,31,False
2020-01-12,80,False
2020-01-19,35,False
2020-01-26,51,False
2020-02-02,72,False
2020-02-09,100,False
2020-02-16,42,False
2020-02-23,28,False
2020-03-01,39,False
2020-03-08,51,False
2020-03-15,36,False
2020-03-22,40,False
2020-03-29,51,False
2020-04-05,55,False
2020-04-12,51,True
