date,fotografo matrimonio,isPartial
2018-01-07,91,False
2018-01-14,51,False
2018-01-21,47,False
2018-01-28,55,False
2018-02-04,58,False
2018-02-11,59,False
2018-02-18,33,False
2018-02-25,61,False
2018-03-04,16,False
2018-03-11,42,False
2018-03-18,38,False
2018-03-25,40,False
2018-04-01,36,False
2018-04-08,51,False
2018-04-15,65,False
2018-04-22,49,False
2018-04-29,34,False
2018-05-06,42,False
2018-05-13,34,False
2018-05-20,47,False
2018-05-27,56,False
2018-06-03,30,False
2018-06-10,57,False
2018-06-17,38,False
2018-06-24,51,False
2018-07-01,51,False
2018-07-08,25,False
2018-07-15,17,False
2018-07-22,52,False
2018-07-29,84,False
2018-08-05,32,False
2018-08-12,29,False
2018-08-19,56,False
2018-08-26,65,False
2018-09-02,87,False
2018-09-09,67,False
2018-09-16,53,False
2018-09-23,71,False
2018-09-30,37,False
2018-10-07,73,False
2018-10-14,39,False
2018-10-21,63,False
2018-10-28,62,False
2018-11-04,69,False
2018-11-11,17,False
2018-11-18,50,False
2018-11-25,68,False
2018-12-02,38,False
2018-12-09,60,False
2018-12-16,58,False
2018-12-23,30,False
2018-12-30,64,False
2019-01-06,47,False
2019-01-13,79,False
2019-01-20,100,False
2019-01-27,51,False
2019-02-03,48,False
2019-02-10,65,False
2019-02-17,58,False
2019-02-24,77,False
2019-03-03,85,False
2019-03-10,50,False
2019-03-17,47,False
2019-03-24,47,False
2019-03-31,42,False
2019-04-07,45,False
2019-04-14,65,False
2019-04-21,85,False
2019-04-28,59,False
2019-05-05,40,False
2019-05-12,81,False
2019-05-19,56,False
2019-05-26,43,False
2019-06-02,42,False
2019-06-09,63,False
2019-06-16,46,False
2019-06-23,43,False
2019-06-30,68,False
2019-07-07,57,False
2019-07-14,43,False
2019-07-21,56,False
2019-07-28,22,False
2019-08-04,40,False
2019-08-11,38,False
2019-08-18,58,False
2019-08-25,57,False
2019-09-01,73,False
2019-09-08,44,False
2019-09-15,62,False
2019-09-22,35,False
2019-09-29,67,False
2019-10-06,56,False
2019-10-13,55,False
2019-10-20,57,False
2019-10-27,43,False
2019-11-03,37,False
2019-11-10,49,False
2019-11-17,57,False
2019-11-24,41,False
2019-12-01,28,False
2019-12-08,39,False
2019-12-15,32,False
2019-12-22,50,False
2019-12-29,74,False
2020-01-05,39,False
2020-01-12,51,False
2020-01-19,81,False
2020-01-26,51,False
2020-02-02,68,False
2020-02-09,30,False
2020-02-16,59,False
2020-02-23,28,False
2020-03-01,24,False
2020-03-08,30,False
2020-03-15,30,False
2020-03-22,37,False
2020-03-29,35,False
2020-04-05,30,False
2020-04-12,37,False
2020-04-19,60,False
2020-04-26,22,True
