date,gruppo musicale,isPartial
2018-01-07,81,False
2018-01-14,47,False
2018-01-21,27,False
2018-01-28,34,False
2018-02-04,46,False
2018-02-11,87,False
2018-02-18,27,False
2018-02-25,45,False
2018-03-04,55,False
2018-03-11,55,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,45,False
2018-04-08,72,False
2018-04-15,43,False
2018-04-22,15,False
2018-04-29,86,False
2018-05-06,41,False
2018-05-13,14,False
2018-05-20,14,False
2018-05-27,29,False
2018-06-03,22,False
2018-06-10,60,False
2018-06-17,34,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,63,False
2018-07-15,29,False
2018-07-22,44,False
2018-07-29,36,False
2018-08-05,92,False
2018-08-12,58,False
2018-08-19,33,False
2018-08-26,45,False
2018-09-02,42,False
2018-09-09,69,False
2018-09-16,67,False
2018-09-23,34,False
2018-09-30,69,False
2018-10-07,29,False
2018-10-14,22,False
2018-10-21,42,False
2018-10-28,41,False
2018-11-04,14,False
2018-11-11,22,False
2018-11-18,43,False
2018-11-25,43,False
2018-12-02,23,False
2018-12-09,30,False
2018-12-16,60,False
2018-12-23,55,False
2018-12-30,81,False
2019-01-06,28,False
2019-01-13,41,False
2019-01-20,39,False
2019-01-27,26,False
2019-02-03,59,False
2019-02-10,27,False
2019-02-17,47,False
2019-02-24,27,False
2019-03-03,49,False
2019-03-10,40,False
2019-03-17,56,False
2019-03-24,50,False
2019-03-31,35,False
2019-04-07,42,False
2019-04-14,29,False
2019-04-21,29,False
2019-04-28,41,False
2019-05-05,81,False
2019-05-12,47,False
2019-05-19,40,False
2019-05-26,45,False
2019-06-02,21,False
2019-06-09,51,False
2019-06-16,43,False
2019-06-23,44,False
2019-06-30,60,False
2019-07-07,58,False
2019-07-14,80,False
2019-07-21,45,False
2019-07-28,75,False
2019-08-04,39,False
2019-08-11,75,False
2019-08-18,55,False
2019-08-25,76,False
2019-09-01,91,False
2019-09-08,53,False
2019-09-15,45,False
2019-09-22,63,False
2019-09-29,50,False
2019-10-06,60,False
2019-10-13,26,False
2019-10-20,45,False
2019-10-27,25,False
2019-11-03,30,False
2019-11-10,25,False
2019-11-17,51,False
2019-11-24,44,False
2019-12-01,27,False
2019-12-08,20,False
2019-12-15,60,False
2019-12-22,29,False
2019-12-29,69,False
2020-01-05,32,False
2020-01-12,37,False
2020-01-19,25,False
2020-01-26,37,False
2020-02-02,24,False
2020-02-09,100,False
2020-02-16,63,False
2020-02-23,59,False
2020-03-01,34,False
2020-03-08,28,False
2020-03-15,38,False
2020-03-22,35,False
2020-03-29,36,False
2020-04-05,11,False
2020-04-12,54,False
2020-04-19,50,False
2020-04-26,26,True
