date,Hochzeitsfotograf,isPartial
2018-01-07,23,False
2018-01-14,34,False
2018-01-21,31,False
2018-01-28,53,False
2018-02-04,39,False
2018-02-11,55,False
2018-02-18,28,False
2018-02-25,31,False
2018-03-04,36,False
2018-03-11,28,False
2018-03-18,16,False
2018-03-25,17,False
2018-04-01,26,False
2018-04-08,45,False
2018-04-15,29,False
2018-04-22,28,False
2018-04-29,33,False
2018-05-06,17,False
2018-05-13,23,False
2018-05-20,50,False
2018-05-27,25,False
2018-06-03,51,False
2018-06-10,41,False
2018-06-17,27,False
2018-06-24,19,False
2018-07-01,15,False
2018-07-08,19,False
2018-07-15,46,False
2018-07-22,31,False
2018-07-29,32,False
2018-08-05,32,False
2018-08-12,17,False
2018-08-19,38,False
2018-08-26,34,False
2018-09-02,25,False
2018-09-09,32,False
2018-09-16,24,False
2018-09-23,35,False
2018-09-30,0,False
2018-10-07,43,False
2018-10-14,35,False
2018-10-21,100,False
2018-10-28,47,False
2018-11-04,23,False
2018-11-11,30,False
2018-11-18,37,False
2018-11-25,19,False
2018-12-02,26,False
2018-12-09,15,False
2018-12-16,31,False
2018-12-23,55,False
2018-12-30,24,False
2019-01-06,25,False
2019-01-13,50,False
2019-01-20,57,False
2019-01-27,50,False
2019-02-03,32,False
2019-02-10,44,False
2019-02-17,18,False
2019-02-24,34,False
2019-03-03,30,False
2019-03-10,22,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,23,False
2019-04-07,34,False
2019-04-14,41,False
2019-04-21,52,False
2019-04-28,30,False
2019-05-05,18,False
2019-05-12,29,False
2019-05-19,40,False
2019-05-26,19,False
2019-06-02,26,False
2019-06-09,35,False
2019-06-16,47,False
2019-06-23,34,False
2019-06-30,26,False
2019-07-07,36,False
2019-07-14,15,False
2019-07-21,23,False
2019-07-28,26,False
2019-08-04,24,False
2019-08-11,48,False
2019-08-18,28,False
2019-08-25,56,False
2019-09-01,22,False
2019-09-08,30,False
2019-09-15,22,False
2019-09-22,25,False
2019-09-29,33,False
2019-10-06,28,False
2019-10-13,25,False
2019-10-20,32,False
2019-10-27,50,False
2019-11-03,20,False
2019-11-10,35,False
2019-11-17,31,False
2019-11-24,28,False
2019-12-01,14,False
2019-12-08,18,False
2019-12-15,22,False
2019-12-22,33,False
2019-12-29,53,False
2020-01-05,27,False
2020-01-12,36,False
2020-01-19,7,False
2020-01-26,37,False
2020-02-02,23,False
2020-02-09,16,False
2020-02-16,24,False
2020-02-23,43,False
2020-03-01,52,False
2020-03-08,28,False
2020-03-15,24,False
2020-03-22,33,False
2020-03-29,27,False
2020-04-05,37,False
2020-04-12,51,True
