date,livraison traiteur,isPartial
2018-01-07,43,False
2018-01-14,29,False
2018-01-21,22,False
2018-01-28,54,False
2018-02-04,22,False
2018-02-11,66,False
2018-02-18,58,False
2018-02-25,46,False
2018-03-04,37,False
2018-03-11,29,False
2018-03-18,30,False
2018-03-25,30,False
2018-04-01,46,False
2018-04-08,30,False
2018-04-15,36,False
2018-04-22,47,False
2018-04-29,58,False
2018-05-06,24,False
2018-05-13,66,False
2018-05-20,34,False
2018-05-27,86,False
2018-06-03,76,False
2018-06-10,42,False
2018-06-17,50,False
2018-06-24,59,False
2018-07-01,43,False
2018-07-08,79,False
2018-07-15,62,False
2018-07-22,33,False
2018-07-29,92,False
2018-08-05,27,False
2018-08-12,43,False
2018-08-19,26,False
2018-08-26,24,False
2018-09-02,22,False
2018-09-09,44,False
2018-09-16,29,False
2018-09-23,37,False
2018-09-30,36,False
2018-10-07,22,False
2018-10-14,63,False
2018-10-21,42,False
2018-10-28,39,False
2018-11-04,43,False
2018-11-11,21,False
2018-11-18,43,False
2018-11-25,51,False
2018-12-02,65,False
2018-12-09,52,False
2018-12-16,53,False
2018-12-23,46,False
2018-12-30,42,False
2019-01-06,22,False
2019-01-13,33,False
2019-01-20,21,False
2019-01-27,32,False
2019-02-03,27,False
2019-02-10,86,False
2019-02-17,33,False
2019-02-24,52,False
2019-03-03,58,False
2019-03-10,58,False
2019-03-17,37,False
2019-03-24,38,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,59,False
2019-04-21,33,False
2019-04-28,61,False
2019-05-05,36,False
2019-05-12,46,False
2019-05-19,34,False
2019-05-26,47,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,23,False
2019-07-07,71,False
2019-07-14,42,False
2019-07-21,26,False
2019-07-28,28,False
2019-08-04,29,False
2019-08-11,41,False
2019-08-18,58,False
2019-08-25,51,False
2019-09-01,23,False
2019-09-08,56,False
2019-09-15,37,False
2019-09-22,65,False
2019-09-29,32,False
2019-10-06,37,False
2019-10-13,52,False
2019-10-20,23,False
2019-10-27,46,False
2019-11-03,36,False
2019-11-10,66,False
2019-11-17,66,False
2019-11-24,43,False
2019-12-01,63,False
2019-12-08,28,False
2019-12-15,73,False
2019-12-22,52,False
2019-12-29,33,False
2020-01-05,83,False
2020-01-12,21,False
2020-01-19,54,False
2020-01-26,28,False
2020-02-02,21,False
2020-02-09,72,False
2020-02-16,22,False
2020-02-23,51,False
2020-03-01,20,False
2020-03-08,20,False
2020-03-15,65,False
2020-03-22,58,False
2020-03-29,58,False
2020-04-05,100,False
2020-04-12,66,False
2020-04-19,64,False
2020-04-26,63,False
2020-05-03,40,False
2020-05-10,49,False
2020-05-17,75,True
