date,marketing,isPartial
2018-01-07,46,False
2018-01-14,81,False
2018-01-21,67,False
2018-01-28,44,False
2018-02-04,54,False
2018-02-11,45,False
2018-02-18,43,False
2018-02-25,33,False
2018-03-04,73,False
2018-03-11,11,False
2018-03-18,52,False
2018-03-25,66,False
2018-04-01,63,False
2018-04-08,47,False
2018-04-15,39,False
2018-04-22,48,False
2018-04-29,9,False
2018-05-06,18,False
2018-05-13,45,False
2018-05-20,26,False
2018-05-27,100,False
2018-06-03,16,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,31,False
2018-07-15,39,False
2018-07-22,23,False
2018-07-29,7,False
2018-08-05,56,False
2018-08-12,21,False
2018-08-19,39,False
2018-08-26,24,False
2018-09-02,31,False
2018-09-09,23,False
2018-09-16,32,False
2018-09-23,40,False
2018-09-30,17,False
2018-10-07,9,False
2018-10-14,26,False
2018-10-21,37,False
2018-10-28,50,False
2018-11-04,52,False
2018-11-11,11,False
2018-11-18,53,False
2018-11-25,33,False
2018-12-02,24,False
2018-12-09,12,False
2018-12-16,59,False
2018-12-23,28,False
2018-12-30,14,False
2019-01-06,91,False
2019-01-13,44,False
2019-01-20,73,False
2019-01-27,21,False
2019-02-03,76,False
2019-02-10,65,False
2019-02-17,22,False
2019-02-24,34,False
2019-03-03,66,False
2019-03-10,53,False
2019-03-17,73,False
2019-03-24,21,False
2019-03-31,10,False
2019-04-07,19,False
2019-04-14,46,False
2019-04-21,46,False
2019-04-28,54,False
2019-05-05,44,False
2019-05-12,52,False
2019-05-19,49,False
2019-05-26,24,False
2019-06-02,31,False
2019-06-09,46,False
2019-06-16,16,False
2019-06-23,55,False
2019-06-30,47,False
2019-07-07,30,False
2019-07-14,60,False
2019-07-21,45,False
2019-07-28,7,False
2019-08-04,51,False
2019-08-11,35,False
2019-08-18,50,False
2019-08-25,28,False
2019-09-01,71,False
2019-09-08,27,False
2019-09-15,73,False
2019-09-22,44,False
2019-09-29,53,False
2019-10-06,45,False
2019-10-13,39,False
2019-10-20,31,False
2019-10-27,71,False
2019-11-03,53,False
2019-11-10,45,False
2019-11-17,37,False
2019-11-24,56,False
2019-12-01,49,False
2019-12-08,71,False
2019-12-15,60,False
2019-12-22,45,False
2019-12-29,11,False
2020-01-05,39,False
2020-01-12,46,False
2020-01-19,54,False
2020-01-26,64,False
2020-02-02,81,False
2020-02-09,45,False
2020-02-16,53,False
2020-02-23,80,False
2020-03-01,33,False
2020-03-08,56,False
2020-03-15,38,False
2020-03-22,36,False
2020-03-29,36,False
2020-04-05,46,False
2020-04-12,96,True
