date,marketing,isPartial
2018-01-07,71,False
2018-01-14,84,False
2018-01-21,77,False
2018-01-28,97,False
2018-02-04,85,False
2018-02-11,84,False
2018-02-18,72,False
2018-02-25,90,False
2018-03-04,61,False
2018-03-11,82,False
2018-03-18,81,False
2018-03-25,43,False
2018-04-01,61,False
2018-04-08,68,False
2018-04-15,79,False
2018-04-22,65,False
2018-04-29,47,False
2018-05-06,74,False
2018-05-13,60,False
2018-05-20,81,False
2018-05-27,66,False
2018-06-03,94,False
2018-06-10,80,False
2018-06-17,67,False
2018-06-24,72,False
2018-07-01,53,False
2018-07-08,59,False
2018-07-15,65,False
2018-07-22,40,False
2018-07-29,45,False
2018-08-05,54,False
2018-08-12,52,False
2018-08-19,67,False
2018-08-26,42,False
2018-09-02,67,False
2018-09-09,88,False
2018-09-16,78,False
2018-09-23,100,False
2018-09-30,76,False
2018-10-07,74,False
2018-10-14,64,False
2018-10-21,54,False
2018-10-28,52,False
2018-11-04,82,False
2018-11-11,92,False
2018-11-18,93,False
2018-11-25,93,False
2018-12-02,80,False
2018-12-09,65,False
2018-12-16,66,False
2018-12-23,37,False
2018-12-30,54,False
2019-01-06,64,False
2019-01-13,81,False
2019-01-20,78,False
2019-01-27,68,False
2019-02-03,86,False
2019-02-10,89,False
2019-02-17,89,False
2019-02-24,89,False
2019-03-03,80,False
2019-03-10,74,False
2019-03-17,78,False
2019-03-24,94,False
2019-03-31,71,False
2019-04-07,83,False
2019-04-14,44,False
2019-04-21,83,False
2019-04-28,70,False
2019-05-05,78,False
2019-05-12,82,False
2019-05-19,86,False
2019-05-26,96,False
2019-06-02,57,False
2019-06-09,85,False
2019-06-16,86,False
2019-06-23,72,False
2019-06-30,73,False
2019-07-07,58,False
2019-07-14,62,False
2019-07-21,70,False
2019-07-28,49,False
2019-08-04,55,False
2019-08-11,43,False
2019-08-18,73,False
2019-08-25,61,False
2019-09-01,67,False
2019-09-08,80,False
2019-09-15,92,False
2019-09-22,81,False
2019-09-29,98,False
2019-10-06,87,False
2019-10-13,74,False
2019-10-20,93,False
2019-10-27,69,False
2019-11-03,91,False
2019-11-10,87,False
2019-11-17,63,False
2019-11-24,78,False
2019-12-01,68,False
2019-12-08,73,False
2019-12-15,74,False
2019-12-22,29,False
2019-12-29,42,False
2020-01-05,72,False
2020-01-12,75,False
2020-01-19,88,False
2020-01-26,73,False
2020-02-02,60,False
2020-02-09,69,False
2020-02-16,74,False
2020-02-23,80,False
2020-03-01,93,False
2020-03-08,57,False
2020-03-15,62,False
2020-03-22,62,False
2020-03-29,50,False
2020-04-05,62,False
2020-04-12,61,True
