date,math exercice,isPartial
2018-01-07,41,False
2018-01-14,21,False
2018-01-21,41,False
2018-01-28,31,False
2018-02-04,30,False
2018-02-11,72,False
2018-02-18,21,False
2018-02-25,42,False
2018-03-04,43,False
2018-03-11,21,False
2018-03-18,42,False
2018-03-25,74,False
2018-04-01,53,False
2018-04-08,41,False
2018-04-15,100,False
2018-04-22,42,False
2018-04-29,0,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,31,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,31,False
2018-07-08,22,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,44,False
2018-09-02,22,False
2018-09-09,66,False
2018-09-16,54,False
2018-09-23,22,False
2018-09-30,66,False
2018-10-07,22,False
2018-10-14,44,False
2018-10-21,45,False
2018-10-28,64,False
2018-11-04,63,False
2018-11-11,21,False
2018-11-18,21,False
2018-11-25,83,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,42,False
2019-01-13,73,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,22,False
2019-02-24,42,False
2019-03-03,20,False
2019-03-10,95,False
2019-03-17,33,False
2019-03-24,22,False
2019-03-31,43,False
2019-04-07,23,False
2019-04-14,57,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,30,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,20,False
2019-06-16,21,False
2019-06-23,31,False
2019-06-30,21,False
2019-07-07,21,False
2019-07-14,0,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,23,False
2019-08-25,0,False
2019-09-01,20,False
2019-09-08,21,False
2019-09-15,41,False
2019-09-22,19,False
2019-09-29,29,False
2019-10-06,19,False
2019-10-13,38,False
2019-10-20,19,False
2019-10-27,55,False
2019-11-03,28,False
2019-11-10,56,False
2019-11-17,38,False
2019-11-24,18,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,28,False
2019-12-22,40,False
2019-12-29,19,False
2020-01-05,18,False
2020-01-12,0,False
2020-01-19,37,False
2020-01-26,35,False
2020-02-02,36,False
2020-02-09,36,False
2020-02-16,18,False
2020-02-23,18,False
2020-03-01,34,False
2020-03-08,43,False
2020-03-15,67,False
2020-03-22,43,False
2020-03-29,43,False
2020-04-05,43,False
2020-04-12,37,False
2020-04-19,15,False
2020-04-26,20,False
2020-05-03,14,False
2020-05-10,30,False
2020-05-17,0,True
