date,moustiquaire ,isPartial
2018-01-07,0,False
2018-01-14,12,False
2018-01-21,0,False
2018-01-28,8,False
2018-02-04,9,False
2018-02-11,19,False
2018-02-18,6,False
2018-02-25,13,False
2018-03-04,31,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,10,False
2018-04-01,12,False
2018-04-08,25,False
2018-04-15,57,False
2018-04-22,17,False
2018-04-29,30,False
2018-05-06,35,False
2018-05-13,23,False
2018-05-20,19,False
2018-05-27,51,False
2018-06-03,41,False
2018-06-10,24,False
2018-06-17,39,False
2018-06-24,31,False
2018-07-01,100,False
2018-07-08,39,False
2018-07-15,51,False
2018-07-22,84,False
2018-07-29,96,False
2018-08-05,53,False
2018-08-12,32,False
2018-08-19,16,False
2018-08-26,10,False
2018-09-02,32,False
2018-09-09,11,False
2018-09-16,15,False
2018-09-23,13,False
2018-09-30,9,False
2018-10-07,6,False
2018-10-14,13,False
2018-10-21,11,False
2018-10-28,6,False
2018-11-04,12,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,6,False
2018-12-23,7,False
2018-12-30,0,False
2019-01-06,6,False
2019-01-13,10,False
2019-01-20,15,False
2019-01-27,8,False
2019-02-03,6,False
2019-02-10,13,False
2019-02-17,21,False
2019-02-24,16,False
2019-03-03,27,False
2019-03-10,20,False
2019-03-17,18,False
2019-03-24,35,False
2019-03-31,15,False
2019-04-07,25,False
2019-04-14,34,False
2019-04-21,54,False
2019-04-28,19,False
2019-05-05,15,False
2019-05-12,27,False
2019-05-19,23,False
2019-05-26,52,False
2019-06-02,79,False
2019-06-09,26,False
2019-06-16,51,False
2019-06-23,97,False
2019-06-30,64,False
2019-07-07,36,False
2019-07-14,54,False
2019-07-21,94,False
2019-07-28,34,False
2019-08-04,45,False
2019-08-11,9,False
2019-08-18,22,False
2019-08-25,31,False
2019-09-01,12,False
2019-09-08,9,False
2019-09-15,6,False
2019-09-22,9,False
2019-09-29,12,False
2019-10-06,5,False
2019-10-13,7,False
2019-10-20,5,False
2019-10-27,15,False
2019-11-03,0,False
2019-11-10,7,False
2019-11-17,5,False
2019-11-24,9,False
2019-12-01,11,False
2019-12-08,0,False
2019-12-15,5,False
2019-12-22,6,False
2019-12-29,11,False
2020-01-05,5,False
2020-01-12,11,False
2020-01-19,5,False
2020-01-26,5,False
2020-02-02,7,False
2020-02-09,9,False
2020-02-16,11,False
2020-02-23,10,False
2020-03-01,6,False
2020-03-08,11,False
2020-03-15,15,False
2020-03-22,15,False
2020-03-29,10,False
2020-04-05,41,False
2020-04-12,49,False
2020-04-19,52,False
2020-04-26,36,False
2020-05-03,58,False
2020-05-10,27,False
2020-05-17,88,False
2020-05-24,83,False
2020-05-31,70,False
2020-06-07,35,False
2020-06-14,43,False
2020-06-21,88,True
