geoName,geoCode,piscine extérieure
Brittany,FR-E,52.17391304347826
Centre-Val de Loire,FR-F,100.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,69.56521739130434
Provence-Alpes-Côte d'Azur,FR-U,46.73913043478261
Île-de-France,FR-J,41.30434782608695
Grand-est,FR-GE,97.10144927536231
Hauts-de-france,FR-HF,82.06521739130434
Normandie,FR-NO,64.67391304347827
Bourgogne-Franche-Comté,FR-BFC,92.3913043478261
Nouvelle-Aquitaine,FR-NA,65.21739130434783
Occitanie,FR-OC,54.891304347826086
Auvergne-Rhône-Alpes,FR-AR,87.5
