date,piscine rectangulaire,isPartial
2018-01-07,9,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,10,False
2018-02-04,0,False
2018-02-11,10,False
2018-02-18,39,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,14,False
2018-03-18,19,False
2018-03-25,19,False
2018-04-01,10,False
2018-04-08,10,False
2018-04-15,35,False
2018-04-22,33,False
2018-04-29,21,False
2018-05-06,31,False
2018-05-13,10,False
2018-05-20,16,False
2018-05-27,22,False
2018-06-03,18,False
2018-06-10,17,False
2018-06-17,44,False
2018-06-24,47,False
2018-07-01,40,False
2018-07-08,45,False
2018-07-15,15,False
2018-07-22,28,False
2018-07-29,21,False
2018-08-05,31,False
2018-08-12,12,False
2018-08-19,21,False
2018-08-26,15,False
2018-09-02,9,False
2018-09-09,14,False
2018-09-16,9,False
2018-09-23,10,False
2018-09-30,9,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,10,False
2018-11-04,0,False
2018-11-11,10,False
2018-11-18,9,False
2018-11-25,0,False
2018-12-02,9,False
2018-12-09,0,False
2018-12-16,10,False
2018-12-23,0,False
2018-12-30,10,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,9,False
2019-02-10,20,False
2019-02-17,10,False
2019-02-24,21,False
2019-03-03,10,False
2019-03-10,9,False
2019-03-17,10,False
2019-03-24,9,False
2019-03-31,25,False
2019-04-07,8,False
2019-04-14,14,False
2019-04-21,8,False
2019-04-28,8,False
2019-05-05,16,False
2019-05-12,8,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,32,False
2019-06-09,23,False
2019-06-16,47,False
2019-06-23,37,False
2019-06-30,62,False
2019-07-07,37,False
2019-07-14,30,False
2019-07-21,37,False
2019-07-28,21,False
2019-08-04,16,False
2019-08-11,8,False
2019-08-18,12,False
2019-08-25,10,False
2019-09-01,12,False
2019-09-08,12,False
2019-09-15,7,False
2019-09-22,0,False
2019-09-29,7,False
2019-10-06,0,False
2019-10-13,8,False
2019-10-20,8,False
2019-10-27,7,False
2019-11-03,7,False
2019-11-10,7,False
2019-11-17,0,False
2019-11-24,8,False
2019-12-01,8,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,17,False
2019-12-29,0,False
2020-01-05,7,False
2020-01-12,7,False
2020-01-19,7,False
2020-01-26,7,False
2020-02-02,7,False
2020-02-09,7,False
2020-02-16,14,False
2020-02-23,10,False
2020-03-01,7,False
2020-03-08,9,False
2020-03-15,7,False
2020-03-22,13,False
2020-03-29,9,False
2020-04-05,28,False
2020-04-12,17,False
2020-04-19,19,False
2020-04-26,28,False
2020-05-03,75,False
2020-05-10,19,False
2020-05-17,100,True
