date,piscine,isPartial
2018-01-07,16,False
2018-01-14,16,False
2018-01-21,17,False
2018-01-28,16,False
2018-02-04,15,False
2018-02-11,16,False
2018-02-18,19,False
2018-02-25,19,False
2018-03-04,20,False
2018-03-11,19,False
2018-03-18,18,False
2018-03-25,19,False
2018-04-01,21,False
2018-04-08,21,False
2018-04-15,36,False
2018-04-22,32,False
2018-04-29,29,False
2018-05-06,40,False
2018-05-13,22,False
2018-05-20,31,False
2018-05-27,27,False
2018-06-03,29,False
2018-06-10,25,False
2018-06-17,38,False
2018-06-24,55,False
2018-07-01,56,False
2018-07-08,55,False
2018-07-15,45,False
2018-07-22,60,False
2018-07-29,65,False
2018-08-05,56,False
2018-08-12,40,False
2018-08-19,35,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,25,False
2018-09-16,22,False
2018-09-23,18,False
2018-09-30,16,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,18,False
2018-10-28,17,False
2018-11-04,14,False
2018-11-11,13,False
2018-11-18,11,False
2018-11-25,12,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,11,False
2018-12-23,16,False
2018-12-30,17,False
2019-01-06,16,False
2019-01-13,16,False
2019-01-20,15,False
2019-01-27,15,False
2019-02-03,17,False
2019-02-10,20,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,20,False
2019-03-10,19,False
2019-03-17,21,False
2019-03-24,22,False
2019-03-31,21,False
2019-04-07,23,False
2019-04-14,26,False
2019-04-21,28,False
2019-04-28,26,False
2019-05-05,24,False
2019-05-12,22,False
2019-05-19,23,False
2019-05-26,37,False
2019-06-02,39,False
2019-06-09,30,False
2019-06-16,44,False
2019-06-23,100,False
2019-06-30,67,False
2019-07-07,50,False
2019-07-14,45,False
2019-07-21,64,False
2019-07-28,39,False
2019-08-04,40,False
2019-08-11,34,False
2019-08-18,34,False
2019-08-25,38,False
2019-09-01,27,False
2019-09-08,24,False
2019-09-15,23,False
2019-09-22,18,False
2019-09-29,17,False
2019-10-06,15,False
2019-10-13,16,False
2019-10-20,19,False
2019-10-27,18,False
2019-11-03,15,False
2019-11-10,14,False
2019-11-17,13,False
2019-11-24,12,False
2019-12-01,12,False
2019-12-08,12,False
2019-12-15,12,False
2019-12-22,16,False
2019-12-29,17,False
2020-01-05,16,False
2020-01-12,16,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,19,False
2020-03-08,20,False
2020-03-15,9,False
2020-03-22,9,False
2020-03-29,11,False
2020-04-05,25,False
2020-04-12,28,False
2020-04-19,26,False
2020-04-26,25,False
2020-05-03,33,False
2020-05-10,27,False
2020-05-17,63,False
2020-05-24,69,False
2020-05-31,61,False
2020-06-07,36,False
2020-06-14,39,False
2020-06-21,60,True
