date,piscinier,isPartial
2018-01-07,34,False
2018-01-14,30,False
2018-01-21,40,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,41,False
2018-02-18,41,False
2018-02-25,51,False
2018-03-04,27,False
2018-03-11,54,False
2018-03-18,61,False
2018-03-25,21,False
2018-04-01,31,False
2018-04-08,41,False
2018-04-15,51,False
2018-04-22,21,False
2018-04-29,94,False
2018-05-06,55,False
2018-05-13,21,False
2018-05-20,42,False
2018-05-27,50,False
2018-06-03,51,False
2018-06-10,46,False
2018-06-17,55,False
2018-06-24,55,False
2018-07-01,50,False
2018-07-08,28,False
2018-07-15,100,False
2018-07-22,55,False
2018-07-29,44,False
2018-08-05,74,False
2018-08-12,92,False
2018-08-19,89,False
2018-08-26,50,False
2018-09-02,35,False
2018-09-09,21,False
2018-09-16,28,False
2018-09-23,49,False
2018-09-30,41,False
2018-10-07,21,False
2018-10-14,42,False
2018-10-21,35,False
2018-10-28,42,False
2018-11-04,31,False
2018-11-11,20,False
2018-11-18,40,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,34,False
2018-12-16,63,False
2018-12-23,24,False
2018-12-30,44,False
2019-01-06,41,False
2019-01-13,20,False
2019-01-20,33,False
2019-01-27,39,False
2019-02-03,30,False
2019-02-10,34,False
2019-02-17,49,False
2019-02-24,48,False
2019-03-03,40,False
2019-03-10,20,False
2019-03-17,42,False
2019-03-24,62,False
2019-03-31,20,False
2019-04-07,35,False
2019-04-14,73,False
2019-04-21,56,False
2019-04-28,27,False
2019-05-05,30,False
2019-05-12,20,False
2019-05-19,46,False
2019-05-26,27,False
2019-06-02,63,False
2019-06-09,59,False
2019-06-16,54,False
2019-06-23,47,False
2019-06-30,27,False
2019-07-07,73,False
2019-07-14,42,False
2019-07-21,64,False
2019-07-28,29,False
2019-08-04,22,False
2019-08-11,50,False
2019-08-18,21,False
2019-08-25,61,False
2019-09-01,39,False
2019-09-08,58,False
2019-09-15,19,False
2019-09-22,28,False
2019-09-29,19,False
2019-10-06,38,False
2019-10-13,31,False
2019-10-20,32,False
2019-10-27,37,False
2019-11-03,55,False
2019-11-10,28,False
2019-11-17,37,False
2019-11-24,45,False
2019-12-01,36,False
2019-12-08,18,False
2019-12-15,19,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,35,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,44,False
2020-02-02,24,False
2020-02-09,44,False
2020-02-16,18,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,32,False
2020-03-22,26,False
2020-03-29,24,False
2020-04-05,32,False
2020-04-12,32,False
2020-04-19,32,False
2020-04-26,35,False
2020-05-03,38,False
2020-05-10,32,False
2020-05-17,73,False
2020-05-24,39,False
2020-05-31,55,False
2020-06-07,21,False
2020-06-14,28,False
2020-06-21,0,True
