date,profesora primaria,isPartial
2018-01-07,47,False
2018-01-14,43,False
2018-01-21,57,False
2018-01-28,28,False
2018-02-04,56,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,41,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,57,False
2018-03-25,47,False
2018-04-01,29,False
2018-04-08,54,False
2018-04-15,66,False
2018-04-22,28,False
2018-04-29,29,False
2018-05-06,46,False
2018-05-13,100,False
2018-05-20,84,False
2018-05-27,84,False
2018-06-03,82,False
2018-06-10,98,False
2018-06-17,59,False
2018-06-24,58,False
2018-07-01,29,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,30,False
2018-07-29,60,False
2018-08-05,44,False
2018-08-12,46,False
2018-08-19,51,False
2018-08-26,44,False
2018-09-02,93,False
2018-09-09,84,False
2018-09-16,55,False
2018-09-23,68,False
2018-09-30,37,False
2018-10-07,38,False
2018-10-14,54,False
2018-10-21,47,False
2018-10-28,38,False
2018-11-04,26,False
2018-11-11,41,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,58,False
2018-12-09,28,False
2018-12-16,58,False
2018-12-23,82,False
2018-12-30,31,False
2019-01-06,56,False
2019-01-13,63,False
2019-01-20,51,False
2019-01-27,52,False
2019-02-03,55,False
2019-02-10,55,False
2019-02-17,28,False
2019-02-24,68,False
2019-03-03,42,False
2019-03-10,42,False
2019-03-17,0,False
2019-03-24,85,False
2019-03-31,45,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,55,False
2019-05-05,53,False
2019-05-12,94,False
2019-05-19,80,False
2019-05-26,61,False
2019-06-02,95,False
2019-06-09,53,False
2019-06-16,91,False
2019-06-23,42,False
2019-06-30,37,False
2019-07-07,41,False
2019-07-14,42,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,58,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,43,False
2019-09-08,26,False
2019-09-15,25,False
2019-09-22,34,False
2019-09-29,59,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,50,False
2019-11-03,73,False
2019-11-10,37,False
2019-11-17,25,False
2019-11-24,59,False
2019-12-01,51,False
2019-12-08,26,False
2019-12-15,74,False
2019-12-22,28,False
2019-12-29,55,False
2020-01-05,50,False
2020-01-12,38,False
2020-01-19,38,False
2020-01-26,39,False
2020-02-02,47,False
2020-02-09,24,False
2020-02-16,47,False
2020-02-23,35,False
2020-03-01,38,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,48,False
2020-03-29,41,False
2020-04-05,44,False
2020-04-12,21,False
2020-04-19,61,False
2020-04-26,21,False
2020-05-03,41,False
2020-05-10,48,False
2020-05-17,73,True
