date,publicidad,isPartial
2018-01-07,52,False
2018-01-14,43,False
2018-01-21,77,False
2018-01-28,0,False
2018-02-04,77,False
2018-02-11,52,False
2018-02-18,52,False
2018-02-25,17,False
2018-03-04,79,False
2018-03-11,43,False
2018-03-18,17,False
2018-03-25,39,False
2018-04-01,29,False
2018-04-08,17,False
2018-04-15,53,False
2018-04-22,34,False
2018-04-29,44,False
2018-05-06,34,False
2018-05-13,36,False
2018-05-20,44,False
2018-05-27,17,False
2018-06-03,26,False
2018-06-10,34,False
2018-06-17,28,False
2018-06-24,19,False
2018-07-01,0,False
2018-07-08,63,False
2018-07-15,20,False
2018-07-22,52,False
2018-07-29,40,False
2018-08-05,38,False
2018-08-12,40,False
2018-08-19,20,False
2018-08-26,19,False
2018-09-02,18,False
2018-09-09,26,False
2018-09-16,44,False
2018-09-23,52,False
2018-09-30,43,False
2018-10-07,35,False
2018-10-14,34,False
2018-10-21,17,False
2018-10-28,34,False
2018-11-04,100,False
2018-11-11,51,False
2018-11-18,66,False
2018-11-25,43,False
2018-12-02,65,False
2018-12-09,69,False
2018-12-16,43,False
2018-12-23,80,False
2018-12-30,69,False
2019-01-06,34,False
2019-01-13,32,False
2019-01-20,15,False
2019-01-27,47,False
2019-02-03,41,False
2019-02-10,33,False
2019-02-17,51,False
2019-02-24,42,False
2019-03-03,34,False
2019-03-10,42,False
2019-03-17,86,False
2019-03-24,42,False
2019-03-31,48,False
2019-04-07,33,False
2019-04-14,35,False
2019-04-21,35,False
2019-04-28,65,False
2019-05-05,25,False
2019-05-12,65,False
2019-05-19,32,False
2019-05-26,47,False
2019-06-02,23,False
2019-06-09,40,False
2019-06-16,34,False
2019-06-23,18,False
2019-06-30,0,False
2019-07-07,48,False
2019-07-14,38,False
2019-07-21,18,False
2019-07-28,19,False
2019-08-04,19,False
2019-08-11,56,False
2019-08-18,18,False
2019-08-25,25,False
2019-09-01,49,False
2019-09-08,49,False
2019-09-15,54,False
2019-09-22,39,False
2019-09-29,61,False
2019-10-06,62,False
2019-10-13,22,False
2019-10-20,59,False
2019-10-27,30,False
2019-11-03,21,False
2019-11-10,35,False
2019-11-17,43,False
2019-11-24,29,False
2019-12-01,49,False
2019-12-08,50,False
2019-12-15,30,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,30,False
2020-01-12,33,False
2020-01-19,27,False
2020-01-26,76,False
2020-02-02,55,False
2020-02-09,35,False
2020-02-16,49,False
2020-02-23,14,False
2020-03-01,39,False
2020-03-08,37,False
2020-03-15,12,False
2020-03-22,55,False
2020-03-29,54,False
2020-04-05,17,False
2020-04-12,61,True
