date,scatole bomboniere,isPartial
2018-01-07,36,False
2018-01-14,47,False
2018-01-21,43,False
2018-01-28,54,False
2018-02-04,30,False
2018-02-11,62,False
2018-02-18,60,False
2018-02-25,52,False
2018-03-04,71,False
2018-03-11,72,False
2018-03-18,100,False
2018-03-25,16,False
2018-04-01,46,False
2018-04-08,54,False
2018-04-15,87,False
2018-04-22,57,False
2018-04-29,79,False
2018-05-06,62,False
2018-05-13,54,False
2018-05-20,31,False
2018-05-27,36,False
2018-06-03,28,False
2018-06-10,30,False
2018-06-17,35,False
2018-06-24,47,False
2018-07-01,42,False
2018-07-08,27,False
2018-07-15,63,False
2018-07-22,28,False
2018-07-29,44,False
2018-08-05,17,False
2018-08-12,26,False
2018-08-19,34,False
2018-08-26,32,False
2018-09-02,34,False
2018-09-09,42,False
2018-09-16,22,False
2018-09-23,27,False
2018-09-30,34,False
2018-10-07,20,False
2018-10-14,36,False
2018-10-21,27,False
2018-10-28,19,False
2018-11-04,34,False
2018-11-11,23,False
2018-11-18,19,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,12,False
2018-12-16,24,False
2018-12-23,18,False
2018-12-30,42,False
2019-01-06,43,False
2019-01-13,34,False
2019-01-20,51,False
2019-01-27,54,False
2019-02-03,37,False
2019-02-10,30,False
2019-02-17,79,False
2019-02-24,49,False
2019-03-03,43,False
2019-03-10,57,False
2019-03-17,70,False
2019-03-24,47,False
2019-03-31,58,False
2019-04-07,61,False
2019-04-14,32,False
2019-04-21,54,False
2019-04-28,46,False
2019-05-05,55,False
2019-05-12,59,False
2019-05-19,59,False
2019-05-26,43,False
2019-06-02,46,False
2019-06-09,39,False
2019-06-16,15,False
2019-06-23,31,False
2019-06-30,20,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,16,False
2019-07-28,28,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,16,False
2019-08-25,41,False
2019-09-01,35,False
2019-09-08,55,False
2019-09-15,32,False
2019-09-22,25,False
2019-09-29,21,False
2019-10-06,18,False
2019-10-13,29,False
2019-10-20,31,False
2019-10-27,43,False
2019-11-03,17,False
2019-11-10,17,False
2019-11-17,35,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,25,False
2019-12-15,18,False
2019-12-22,21,False
2019-12-29,24,False
2020-01-05,46,False
2020-01-12,53,False
2020-01-19,34,False
2020-01-26,53,False
2020-02-02,49,False
2020-02-09,38,False
2020-02-16,47,False
2020-02-23,51,False
2020-03-01,47,False
2020-03-08,9,False
2020-03-15,18,False
2020-03-22,6,False
2020-03-29,0,False
2020-04-05,6,False
2020-04-12,22,False
2020-04-19,6,False
2020-04-26,15,True
