date,set,isPartial
2018-01-07,72,False
2018-01-14,89,False
2018-01-21,82,False
2018-01-28,77,False
2018-02-04,69,False
2018-02-11,69,False
2018-02-18,78,False
2018-02-25,66,False
2018-03-04,85,False
2018-03-11,70,False
2018-03-18,90,False
2018-03-25,82,False
2018-04-01,68,False
2018-04-08,89,False
2018-04-15,72,False
2018-04-22,70,False
2018-04-29,76,False
2018-05-06,62,False
2018-05-13,74,False
2018-05-20,73,False
2018-05-27,85,False
2018-06-03,64,False
2018-06-10,74,False
2018-06-17,86,False
2018-06-24,71,False
2018-07-01,80,False
2018-07-08,86,False
2018-07-15,79,False
2018-07-22,88,False
2018-07-29,77,False
2018-08-05,87,False
2018-08-12,61,False
2018-08-19,80,False
2018-08-26,90,False
2018-09-02,83,False
2018-09-09,75,False
2018-09-16,62,False
2018-09-23,84,False
2018-09-30,80,False
2018-10-07,78,False
2018-10-14,74,False
2018-10-21,63,False
2018-10-28,70,False
2018-11-04,76,False
2018-11-11,70,False
2018-11-18,90,False
2018-11-25,90,False
2018-12-02,91,False
2018-12-09,91,False
2018-12-16,85,False
2018-12-23,63,False
2018-12-30,74,False
2019-01-06,71,False
2019-01-13,76,False
2019-01-20,85,False
2019-01-27,71,False
2019-02-03,70,False
2019-02-10,76,False
2019-02-17,79,False
2019-02-24,65,False
2019-03-03,76,False
2019-03-10,77,False
2019-03-17,72,False
2019-03-24,77,False
2019-03-31,78,False
2019-04-07,65,False
2019-04-14,70,False
2019-04-21,71,False
2019-04-28,71,False
2019-05-05,79,False
2019-05-12,65,False
2019-05-19,74,False
2019-05-26,60,False
2019-06-02,63,False
2019-06-09,57,False
2019-06-16,60,False
2019-06-23,66,False
2019-06-30,85,False
2019-07-07,73,False
2019-07-14,95,False
2019-07-21,85,False
2019-07-28,85,False
2019-08-04,61,False
2019-08-11,78,False
2019-08-18,87,False
2019-08-25,65,False
2019-09-01,78,False
2019-09-08,85,False
2019-09-15,60,False
2019-09-22,58,False
2019-09-29,82,False
2019-10-06,87,False
2019-10-13,72,False
2019-10-20,80,False
2019-10-27,72,False
2019-11-03,65,False
2019-11-10,72,False
2019-11-17,91,False
2019-11-24,80,False
2019-12-01,92,False
2019-12-08,88,False
2019-12-15,73,False
2019-12-22,80,False
2019-12-29,68,False
2020-01-05,64,False
2020-01-12,79,False
2020-01-19,71,False
2020-01-26,72,False
2020-02-02,78,False
2020-02-09,85,False
2020-02-16,73,False
2020-02-23,74,False
2020-03-01,80,False
2020-03-08,62,False
2020-03-15,73,False
2020-03-22,77,False
2020-03-29,72,False
2020-04-05,88,False
2020-04-12,96,False
2020-04-19,92,False
2020-04-26,100,True
