date,store banne,isPartial
2018-01-07,16,False
2018-01-14,19,False
2018-01-21,12,False
2018-01-28,6,False
2018-02-04,19,False
2018-02-11,6,False
2018-02-18,12,False
2018-02-25,12,False
2018-03-04,16,False
2018-03-11,26,False
2018-03-18,19,False
2018-03-25,32,False
2018-04-01,49,False
2018-04-08,40,False
2018-04-15,53,False
2018-04-22,57,False
2018-04-29,48,False
2018-05-06,47,False
2018-05-13,31,False
2018-05-20,26,False
2018-05-27,47,False
2018-06-03,31,False
2018-06-10,34,False
2018-06-17,61,False
2018-06-24,13,False
2018-07-01,47,False
2018-07-08,46,False
2018-07-15,32,False
2018-07-22,50,False
2018-07-29,65,False
2018-08-05,30,False
2018-08-12,43,False
2018-08-19,25,False
2018-08-26,22,False
2018-09-02,13,False
2018-09-09,29,False
2018-09-16,36,False
2018-09-23,13,False
2018-09-30,23,False
2018-10-07,7,False
2018-10-14,17,False
2018-10-21,14,False
2018-10-28,10,False
2018-11-04,6,False
2018-11-11,7,False
2018-11-18,19,False
2018-11-25,7,False
2018-12-02,13,False
2018-12-09,13,False
2018-12-16,7,False
2018-12-23,8,False
2018-12-30,0,False
2019-01-06,10,False
2019-01-13,10,False
2019-01-20,6,False
2019-01-27,38,False
2019-02-03,23,False
2019-02-10,27,False
2019-02-17,44,False
2019-02-24,46,False
2019-03-03,19,False
2019-03-10,33,False
2019-03-17,47,False
2019-03-24,44,False
2019-03-31,39,False
2019-04-07,46,False
2019-04-14,33,False
2019-04-21,40,False
2019-04-28,70,False
2019-05-05,29,False
2019-05-12,41,False
2019-05-19,34,False
2019-05-26,37,False
2019-06-02,53,False
2019-06-09,35,False
2019-06-16,39,False
2019-06-23,63,False
2019-06-30,65,False
2019-07-07,36,False
2019-07-14,36,False
2019-07-21,58,False
2019-07-28,15,False
2019-08-04,28,False
2019-08-11,22,False
2019-08-18,26,False
2019-08-25,27,False
2019-09-01,18,False
2019-09-08,15,False
2019-09-15,17,False
2019-09-22,12,False
2019-09-29,18,False
2019-10-06,6,False
2019-10-13,23,False
2019-10-20,12,False
2019-10-27,26,False
2019-11-03,12,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,20,False
2019-12-01,6,False
2019-12-08,6,False
2019-12-15,11,False
2019-12-22,6,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,19,False
2020-01-19,8,False
2020-01-26,19,False
2020-02-02,16,False
2020-02-09,33,False
2020-02-16,27,False
2020-02-23,13,False
2020-03-01,10,False
2020-03-08,21,False
2020-03-15,23,False
2020-03-22,18,False
2020-03-29,14,False
2020-04-05,60,False
2020-04-12,63,False
2020-04-19,29,False
2020-04-26,54,False
2020-05-03,81,False
2020-05-10,36,False
2020-05-17,100,False
2020-05-24,94,False
2020-05-31,87,False
2020-06-07,48,False
2020-06-14,70,False
2020-06-21,55,True
