date,tagli capelli corti,isPartial
2018-01-07,100,False
2018-01-14,60,False
2018-01-21,80,False
2018-01-28,26,False
2018-02-04,45,False
2018-02-11,59,False
2018-02-18,44,False
2018-02-25,12,False
2018-03-04,52,False
2018-03-11,46,False
2018-03-18,83,False
2018-03-25,27,False
2018-04-01,35,False
2018-04-08,67,False
2018-04-15,68,False
2018-04-22,50,False
2018-04-29,55,False
2018-05-06,41,False
2018-05-13,34,False
2018-05-20,27,False
2018-05-27,42,False
2018-06-03,69,False
2018-06-10,56,False
2018-06-17,19,False
2018-06-24,26,False
2018-07-01,72,False
2018-07-08,39,False
2018-07-15,53,False
2018-07-22,57,False
2018-07-29,38,False
2018-08-05,44,False
2018-08-12,17,False
2018-08-19,17,False
2018-08-26,47,False
2018-09-02,18,False
2018-09-09,59,False
2018-09-16,32,False
2018-09-23,26,False
2018-09-30,13,False
2018-10-07,28,False
2018-10-14,48,False
2018-10-21,27,False
2018-10-28,40,False
2018-11-04,26,False
2018-11-11,41,False
2018-11-18,27,False
2018-11-25,40,False
2018-12-02,29,False
2018-12-09,21,False
2018-12-16,35,False
2018-12-23,51,False
2018-12-30,26,False
2019-01-06,13,False
2019-01-13,32,False
2019-01-20,24,False
2019-01-27,48,False
2019-02-03,29,False
2019-02-10,36,False
2019-02-17,44,False
2019-02-24,37,False
2019-03-03,13,False
2019-03-10,31,False
2019-03-17,45,False
2019-03-24,31,False
2019-03-31,49,False
2019-04-07,30,False
2019-04-14,64,False
2019-04-21,13,False
2019-04-28,36,False
2019-05-05,36,False
2019-05-12,36,False
2019-05-19,36,False
2019-05-26,46,False
2019-06-02,56,False
2019-06-09,77,False
2019-06-16,44,False
2019-06-23,25,False
2019-06-30,50,False
2019-07-07,35,False
2019-07-14,24,False
2019-07-21,37,False
2019-07-28,47,False
2019-08-04,36,False
2019-08-11,18,False
2019-08-18,47,False
2019-08-25,52,False
2019-09-01,22,False
2019-09-08,34,False
2019-09-15,11,False
2019-09-22,51,False
2019-09-29,29,False
2019-10-06,59,False
2019-10-13,12,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,22,False
2019-11-10,34,False
2019-11-17,35,False
2019-11-24,22,False
2019-12-01,18,False
2019-12-08,41,False
2019-12-15,41,False
2019-12-22,25,False
2019-12-29,18,False
2020-01-05,17,False
2020-01-12,38,False
2020-01-19,39,False
2020-01-26,16,False
2020-02-02,21,False
2020-02-09,33,False
2020-02-16,22,False
2020-02-23,16,False
2020-03-01,15,False
2020-03-08,0,False
2020-03-15,9,False
2020-03-22,9,False
2020-03-29,9,False
2020-04-05,14,False
2020-04-12,9,False
2020-04-19,22,False
2020-04-26,32,True
