date,tagli di capelli corti,isPartial
2018-01-07,75,False
2018-01-14,47,False
2018-01-21,85,False
2018-01-28,80,False
2018-02-04,100,False
2018-02-11,81,False
2018-02-18,85,False
2018-02-25,61,False
2018-03-04,64,False
2018-03-11,58,False
2018-03-18,63,False
2018-03-25,84,False
2018-04-01,79,False
2018-04-08,61,False
2018-04-15,67,False
2018-04-22,62,False
2018-04-29,50,False
2018-05-06,52,False
2018-05-13,54,False
2018-05-20,76,False
2018-05-27,76,False
2018-06-03,67,False
2018-06-10,84,False
2018-06-17,64,False
2018-06-24,74,False
2018-07-01,73,False
2018-07-08,73,False
2018-07-15,77,False
2018-07-22,55,False
2018-07-29,96,False
2018-08-05,84,False
2018-08-12,45,False
2018-08-19,50,False
2018-08-26,73,False
2018-09-02,51,False
2018-09-09,60,False
2018-09-16,43,False
2018-09-23,35,False
2018-09-30,42,False
2018-10-07,59,False
2018-10-14,46,False
2018-10-21,42,False
2018-10-28,56,False
2018-11-04,54,False
2018-11-11,61,False
2018-11-18,51,False
2018-11-25,59,False
2018-12-02,55,False
2018-12-09,50,False
2018-12-16,65,False
2018-12-23,53,False
2018-12-30,41,False
2019-01-06,26,False
2019-01-13,39,False
2019-01-20,36,False
2019-01-27,52,False
2019-02-03,82,False
2019-02-10,56,False
2019-02-17,35,False
2019-02-24,66,False
2019-03-03,41,False
2019-03-10,63,False
2019-03-17,57,False
2019-03-24,35,False
2019-03-31,64,False
2019-04-07,67,False
2019-04-14,72,False
2019-04-21,43,False
2019-04-28,87,False
2019-05-05,56,False
2019-05-12,34,False
2019-05-19,27,False
2019-05-26,63,False
2019-06-02,72,False
2019-06-09,60,False
2019-06-16,80,False
2019-06-23,55,False
2019-06-30,74,False
2019-07-07,55,False
2019-07-14,52,False
2019-07-21,77,False
2019-07-28,65,False
2019-08-04,55,False
2019-08-11,48,False
2019-08-18,75,False
2019-08-25,61,False
2019-09-01,45,False
2019-09-08,56,False
2019-09-15,50,False
2019-09-22,41,False
2019-09-29,48,False
2019-10-06,47,False
2019-10-13,37,False
2019-10-20,60,False
2019-10-27,37,False
2019-11-03,59,False
2019-11-10,34,False
2019-11-17,53,False
2019-11-24,44,False
2019-12-01,59,False
2019-12-08,40,False
2019-12-15,60,False
2019-12-22,51,False
2019-12-29,44,False
2020-01-05,32,False
2020-01-12,50,False
2020-01-19,41,False
2020-01-26,46,False
2020-02-02,64,False
2020-02-09,91,False
2020-02-16,59,False
2020-02-23,36,False
2020-03-01,44,False
2020-03-08,11,False
2020-03-15,9,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,6,False
2020-04-12,28,False
2020-04-19,21,False
2020-04-26,34,True
