date,torta limone,isPartial
2018-01-07,18,False
2018-01-14,18,False
2018-01-21,23,False
2018-01-28,23,False
2018-02-04,40,False
2018-02-11,46,False
2018-02-18,50,False
2018-02-25,49,False
2018-03-04,52,False
2018-03-11,41,False
2018-03-18,51,False
2018-03-25,12,False
2018-04-01,25,False
2018-04-08,12,False
2018-04-15,48,False
2018-04-22,19,False
2018-04-29,30,False
2018-05-06,18,False
2018-05-13,36,False
2018-05-20,35,False
2018-05-27,0,False
2018-06-03,24,False
2018-06-10,11,False
2018-06-17,17,False
2018-06-24,11,False
2018-07-01,23,False
2018-07-08,17,False
2018-07-15,23,False
2018-07-22,34,False
2018-07-29,28,False
2018-08-05,33,False
2018-08-12,10,False
2018-08-19,35,False
2018-08-26,21,False
2018-09-02,11,False
2018-09-09,40,False
2018-09-16,17,False
2018-09-23,23,False
2018-09-30,34,False
2018-10-07,18,False
2018-10-14,37,False
2018-10-21,54,False
2018-10-28,42,False
2018-11-04,41,False
2018-11-11,36,False
2018-11-18,30,False
2018-11-25,29,False
2018-12-02,38,False
2018-12-09,24,False
2018-12-16,49,False
2018-12-23,13,False
2018-12-30,29,False
2019-01-06,29,False
2019-01-13,46,False
2019-01-20,32,False
2019-01-27,58,False
2019-02-03,31,False
2019-02-10,47,False
2019-02-17,39,False
2019-02-24,16,False
2019-03-03,11,False
2019-03-10,65,False
2019-03-17,45,False
2019-03-24,38,False
2019-03-31,55,False
2019-04-07,32,False
2019-04-14,28,False
2019-04-21,29,False
2019-04-28,21,False
2019-05-05,38,False
2019-05-12,37,False
2019-05-19,42,False
2019-05-26,20,False
2019-06-02,22,False
2019-06-09,17,False
2019-06-16,45,False
2019-06-23,33,False
2019-06-30,11,False
2019-07-07,36,False
2019-07-14,16,False
2019-07-21,44,False
2019-07-28,21,False
2019-08-04,26,False
2019-08-11,27,False
2019-08-18,10,False
2019-08-25,21,False
2019-09-01,35,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,25,False
2019-09-29,26,False
2019-10-06,26,False
2019-10-13,37,False
2019-10-20,36,False
2019-10-27,10,False
2019-11-03,15,False
2019-11-10,45,False
2019-11-17,26,False
2019-11-24,30,False
2019-12-01,31,False
2019-12-08,16,False
2019-12-15,36,False
2019-12-22,16,False
2019-12-29,32,False
2020-01-05,20,False
2020-01-12,43,False
2020-01-19,34,False
2020-01-26,48,False
2020-02-02,56,False
2020-02-09,53,False
2020-02-16,58,False
2020-02-23,41,False
2020-03-01,27,False
2020-03-08,59,False
2020-03-15,77,False
2020-03-22,99,False
2020-03-29,85,False
2020-04-05,79,False
2020-04-12,58,False
2020-04-19,100,False
2020-04-26,62,True
