date,torta mascarpone,isPartial
2018-01-07,20,False
2018-01-14,31,False
2018-01-21,36,False
2018-01-28,20,False
2018-02-04,29,False
2018-02-11,25,False
2018-02-18,15,False
2018-02-25,23,False
2018-03-04,15,False
2018-03-11,50,False
2018-03-18,29,False
2018-03-25,21,False
2018-04-01,21,False
2018-04-08,15,False
2018-04-15,16,False
2018-04-22,16,False
2018-04-29,16,False
2018-05-06,26,False
2018-05-13,16,False
2018-05-20,31,False
2018-05-27,11,False
2018-06-03,16,False
2018-06-10,19,False
2018-06-17,15,False
2018-06-24,34,False
2018-07-01,10,False
2018-07-08,20,False
2018-07-15,10,False
2018-07-22,15,False
2018-07-29,10,False
2018-08-05,24,False
2018-08-12,9,False
2018-08-19,17,False
2018-08-26,36,False
2018-09-02,24,False
2018-09-09,25,False
2018-09-16,15,False
2018-09-23,25,False
2018-09-30,35,False
2018-10-07,21,False
2018-10-14,53,False
2018-10-21,42,False
2018-10-28,21,False
2018-11-04,15,False
2018-11-11,32,False
2018-11-18,21,False
2018-11-25,30,False
2018-12-02,33,False
2018-12-09,16,False
2018-12-16,21,False
2018-12-23,17,False
2018-12-30,20,False
2019-01-06,10,False
2019-01-13,20,False
2019-01-20,37,False
2019-01-27,51,False
2019-02-03,13,False
2019-02-10,41,False
2019-02-17,33,False
2019-02-24,33,False
2019-03-03,35,False
2019-03-10,33,False
2019-03-17,20,False
2019-03-24,10,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,40,False
2019-04-21,15,False
2019-04-28,9,False
2019-05-05,37,False
2019-05-12,27,False
2019-05-19,23,False
2019-05-26,13,False
2019-06-02,19,False
2019-06-09,10,False
2019-06-16,29,False
2019-06-23,10,False
2019-06-30,24,False
2019-07-07,9,False
2019-07-14,18,False
2019-07-21,28,False
2019-07-28,36,False
2019-08-04,32,False
2019-08-11,19,False
2019-08-18,9,False
2019-08-25,27,False
2019-09-01,13,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,26,False
2019-09-29,13,False
2019-10-06,23,False
2019-10-13,36,False
2019-10-20,13,False
2019-10-27,36,False
2019-11-03,25,False
2019-11-10,13,False
2019-11-17,22,False
2019-11-24,13,False
2019-12-01,31,False
2019-12-08,23,False
2019-12-15,22,False
2019-12-22,28,False
2019-12-29,14,False
2020-01-05,17,False
2020-01-12,25,False
2020-01-19,17,False
2020-01-26,25,False
2020-02-02,20,False
2020-02-09,17,False
2020-02-16,29,False
2020-02-23,36,False
2020-03-01,20,False
2020-03-08,37,False
2020-03-15,39,False
2020-03-22,66,False
2020-03-29,94,False
2020-04-05,65,False
2020-04-12,76,False
2020-04-19,100,False
2020-04-26,60,True
