date,traiteur a domicile,isPartial
2018-01-07,56,False
2018-01-14,63,False
2018-01-21,31,False
2018-01-28,69,False
2018-02-04,37,False
2018-02-11,64,False
2018-02-18,58,False
2018-02-25,25,False
2018-03-04,51,False
2018-03-11,76,False
2018-03-18,70,False
2018-03-25,39,False
2018-04-01,26,False
2018-04-08,64,False
2018-04-15,34,False
2018-04-22,46,False
2018-04-29,85,False
2018-05-06,41,False
2018-05-13,64,False
2018-05-20,65,False
2018-05-27,38,False
2018-06-03,82,False
2018-06-10,36,False
2018-06-17,26,False
2018-06-24,45,False
2018-07-01,44,False
2018-07-08,33,False
2018-07-15,48,False
2018-07-22,34,False
2018-07-29,28,False
2018-08-05,21,False
2018-08-12,36,False
2018-08-19,63,False
2018-08-26,66,False
2018-09-02,72,False
2018-09-09,72,False
2018-09-16,78,False
2018-09-23,39,False
2018-09-30,39,False
2018-10-07,33,False
2018-10-14,65,False
2018-10-21,39,False
2018-10-28,33,False
2018-11-04,44,False
2018-11-11,38,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,19,False
2018-12-09,26,False
2018-12-16,40,False
2018-12-23,30,False
2018-12-30,63,False
2019-01-06,51,False
2019-01-13,63,False
2019-01-20,12,False
2019-01-27,25,False
2019-02-03,37,False
2019-02-10,45,False
2019-02-17,13,False
2019-02-24,77,False
2019-03-03,37,False
2019-03-10,63,False
2019-03-17,71,False
2019-03-24,85,False
2019-03-31,25,False
2019-04-07,65,False
2019-04-14,33,False
2019-04-21,20,False
2019-04-28,69,False
2019-05-05,19,False
2019-05-12,82,False
2019-05-19,100,False
2019-05-26,63,False
2019-06-02,47,False
2019-06-09,43,False
2019-06-16,63,False
2019-06-23,50,False
2019-06-30,68,False
2019-07-07,50,False
2019-07-14,39,False
2019-07-21,33,False
2019-07-28,54,False
2019-08-04,34,False
2019-08-11,13,False
2019-08-18,47,False
2019-08-25,50,False
2019-09-01,61,False
2019-09-08,42,False
2019-09-15,30,False
2019-09-22,58,False
2019-09-29,29,False
2019-10-06,24,False
2019-10-13,71,False
2019-10-20,83,False
2019-10-27,41,False
2019-11-03,23,False
2019-11-10,46,False
2019-11-17,34,False
2019-11-24,39,False
2019-12-01,56,False
2019-12-08,45,False
2019-12-15,17,False
2019-12-22,32,False
2019-12-29,42,False
2020-01-05,44,False
2020-01-12,54,False
2020-01-19,40,False
2020-01-26,50,False
2020-02-02,66,False
2020-02-09,44,False
2020-02-16,61,False
2020-02-23,54,False
2020-03-01,21,False
2020-03-08,37,False
2020-03-15,30,False
2020-03-22,44,False
2020-03-29,54,False
2020-04-05,25,False
2020-04-12,10,False
2020-04-19,34,False
2020-04-26,28,False
2020-05-03,61,False
2020-05-10,15,False
2020-05-17,24,True
