date,traiteur anniversaire,isPartial
2018-01-07,61,False
2018-01-14,58,False
2018-01-21,71,False
2018-01-28,65,False
2018-02-04,48,False
2018-02-11,36,False
2018-02-18,40,False
2018-02-25,36,False
2018-03-04,75,False
2018-03-11,36,False
2018-03-18,30,False
2018-03-25,50,False
2018-04-01,31,False
2018-04-08,40,False
2018-04-15,42,False
2018-04-22,54,False
2018-04-29,54,False
2018-05-06,42,False
2018-05-13,49,False
2018-05-20,30,False
2018-05-27,36,False
2018-06-03,59,False
2018-06-10,38,False
2018-06-17,50,False
2018-06-24,40,False
2018-07-01,23,False
2018-07-08,44,False
2018-07-15,53,False
2018-07-22,35,False
2018-07-29,54,False
2018-08-05,54,False
2018-08-12,30,False
2018-08-19,47,False
2018-08-26,86,False
2018-09-02,85,False
2018-09-09,77,False
2018-09-16,74,False
2018-09-23,91,False
2018-09-30,77,False
2018-10-07,47,False
2018-10-14,54,False
2018-10-21,30,False
2018-10-28,34,False
2018-11-04,52,False
2018-11-11,36,False
2018-11-18,29,False
2018-11-25,39,False
2018-12-02,29,False
2018-12-09,30,False
2018-12-16,20,False
2018-12-23,31,False
2018-12-30,36,False
2019-01-06,55,False
2019-01-13,59,False
2019-01-20,64,False
2019-01-27,63,False
2019-02-03,44,False
2019-02-10,63,False
2019-02-17,81,False
2019-02-24,47,False
2019-03-03,61,False
2019-03-10,62,False
2019-03-17,60,False
2019-03-24,56,False
2019-03-31,45,False
2019-04-07,60,False
2019-04-14,44,False
2019-04-21,43,False
2019-04-28,55,False
2019-05-05,61,False
2019-05-12,52,False
2019-05-19,58,False
2019-05-26,33,False
2019-06-02,39,False
2019-06-09,53,False
2019-06-16,19,False
2019-06-23,29,False
2019-06-30,35,False
2019-07-07,35,False
2019-07-14,63,False
2019-07-21,44,False
2019-07-28,42,False
2019-08-04,52,False
2019-08-11,45,False
2019-08-18,69,False
2019-08-25,58,False
2019-09-01,57,False
2019-09-08,100,False
2019-09-15,59,False
2019-09-22,75,False
2019-09-29,57,False
2019-10-06,55,False
2019-10-13,67,False
2019-10-20,64,False
2019-10-27,66,False
2019-11-03,29,False
2019-11-10,57,False
2019-11-17,53,False
2019-11-24,34,False
2019-12-01,38,False
2019-12-08,49,False
2019-12-15,36,False
2019-12-22,30,False
2019-12-29,50,False
2020-01-05,63,False
2020-01-12,75,False
2020-01-19,78,False
2020-01-26,62,False
2020-02-02,46,False
2020-02-09,57,False
2020-02-16,63,False
2020-02-23,47,False
2020-03-01,49,False
2020-03-08,25,False
2020-03-15,13,False
2020-03-22,19,False
2020-03-29,20,False
2020-04-05,15,False
2020-04-12,15,False
2020-04-19,10,False
2020-04-26,14,False
2020-05-03,19,False
2020-05-10,15,False
2020-05-17,25,True
