date,videos,isPartial
2018-01-07,66,False
2018-01-14,45,False
2018-01-21,23,False
2018-01-28,44,False
2018-02-04,42,False
2018-02-11,22,False
2018-02-18,61,False
2018-02-25,78,False
2018-03-04,21,False
2018-03-11,0,False
2018-03-18,83,False
2018-03-25,22,False
2018-04-01,89,False
2018-04-08,68,False
2018-04-15,22,False
2018-04-22,46,False
2018-04-29,44,False
2018-05-06,43,False
2018-05-13,22,False
2018-05-20,65,False
2018-05-27,45,False
2018-06-03,46,False
2018-06-10,21,False
2018-06-17,43,False
2018-06-24,65,False
2018-07-01,22,False
2018-07-08,43,False
2018-07-15,0,False
2018-07-22,62,False
2018-07-29,79,False
2018-08-05,79,False
2018-08-12,56,False
2018-08-19,19,False
2018-08-26,20,False
2018-09-02,43,False
2018-09-09,0,False
2018-09-16,42,False
2018-09-23,63,False
2018-09-30,21,False
2018-10-07,70,False
2018-10-14,44,False
2018-10-21,44,False
2018-10-28,43,False
2018-11-04,42,False
2018-11-11,22,False
2018-11-18,21,False
2018-11-25,43,False
2018-12-02,88,False
2018-12-09,63,False
2018-12-16,67,False
2018-12-23,66,False
2018-12-30,100,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,20,False
2019-01-27,62,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,41,False
2019-02-24,21,False
2019-03-03,45,False
2019-03-10,21,False
2019-03-17,87,False
2019-03-24,42,False
2019-03-31,43,False
2019-04-07,42,False
2019-04-14,44,False
2019-04-21,22,False
2019-04-28,21,False
2019-05-05,21,False
2019-05-12,62,False
2019-05-19,42,False
2019-05-26,40,False
2019-06-02,43,False
2019-06-09,66,False
2019-06-16,45,False
2019-06-23,22,False
2019-06-30,45,False
2019-07-07,21,False
2019-07-14,22,False
2019-07-21,0,False
2019-07-28,64,False
2019-08-04,0,False
2019-08-11,56,False
2019-08-18,36,False
2019-08-25,53,False
2019-09-01,0,False
2019-09-08,100,False
2019-09-15,39,False
2019-09-22,39,False
2019-09-29,40,False
2019-10-06,61,False
2019-10-13,0,False
2019-10-20,59,False
2019-10-27,57,False
2019-11-03,55,False
2019-11-10,19,False
2019-11-17,40,False
2019-11-24,55,False
2019-12-01,40,False
2019-12-08,60,False
2019-12-15,20,False
2019-12-22,39,False
2019-12-29,19,False
2020-01-05,38,False
2020-01-12,0,False
2020-01-19,37,False
2020-01-26,0,False
2020-02-02,34,False
2020-02-09,36,False
2020-02-16,18,False
2020-02-23,17,False
2020-03-01,0,False
2020-03-08,64,False
2020-03-15,45,False
2020-03-22,0,False
2020-03-29,87,False
2020-04-05,15,False
2020-04-12,16,False
2020-04-19,71,False
2020-04-26,0,True
